CAREW	1977 American League M.V.P.
COGNAC	Product of a pot still
AMENRA	Egyptian god of the universe
RATERS	Consumer Reports employees
ENO	New Age music pioneer
WINSTONSALEM	Site of Wake Forest University
LODZ	Arthur Rubinstein's birthplace
LAKOTA	Crazy Horse, e.g.
ONETEN	Early afternoon time
DNA	Kind of test
ZENOSPARADOX	Serious Lewis Carroll topic
SOPS	Payoffs
SUBCULTURE	Hip-hop, e.g.
OVER	Superior to
PERU	24-Down town where Cole Porter was born
SAND	Smooth
OMANI	Rial spender
ANNE	Daughter of James II
UVEA	Colored part
GETON	Mount
KEAN	Shakespearean actor Edmund
BERN	Switzerland's second most populous canton
NNE	Butte-to-Great Falls dir.
SPOT	Predicament
PARTICULATES	Smoke, essentially
OHCRUD	"Rats!"
HOOSIERSTATE	James Whitcomb Riley's beloved home
ARR	Short coming?
TATE	"The Fathers" novelist
SOU	Ten centimes, once
CASTORANDPOLLUX	Sons of Leda
TALMUDISTS	Some rabbis
DPT	Immunization letters
LUN	___ Tha ("The King and I" role)
URE	North Yorkshire river
XES	Marks, as a ballot
ANT	Farm animal
PASTURE	Graze
CURLSIN	What a pageboy does
CPR	Heart starter
URO	Tail: Prefix
RIM	Flange
NYS	Sen. Schumer represents it: Abbr.
TRIUNES	The Godhead and others
PRIMACY	First rank
AER	Gas: Prefix
ROMULUSANDREMUS	Sons of Rhea Silvia
ALTAIR	One of the 20 brightest stars
NEEDLE	It may be in the groove
MOOLAH	Jack
UPROSE	Revolted
SETTER	Irish ___
DEL	"L'Oca ___ Cairo" (Mozart opera)
LEOS	Composer Janácek
OPE	Expose, in verse
JEMIMA	Beatrix Potter's Puddle-Duck
JAKE	Hunky-dory
EXAM	Course concluder
MENU	It may help one choose sides
TEXT	Student's purchase
ORT	Scrap
AXES	y and z, e.g.
TOAD	Lowly one
OVI	Prefix with sac
ALLOT	Assign
LET	Sanction
KANT	Writer who coined the phrase "categorical imperative"
EVIL	Like some twins
TEASE	Make one's hair stand on end?
EMUS	They'll never get off the ground
SIRE	Retired racehorse, maybe
ETHER	What a knockout!
