ABYSS	 Chasm
ASPS	Nile slitherers
BOIL	Seethe
YOGA	Spiritual exercise
STOPSIGN	Reason to hit the brakes
SHU	Moo ___ pork
SOD	Grassy clump
SUDS	Lather
ONUS	Burden
DOC	Med school grad
ALGA	Pond organism
AVIARY	House that's for the birds
LINDA	Singer Ronstadt
GETIT	Be in on the joke
ADORE	Idolize
SOOTHE	Provide comfort to
ETHER	Potent anesthetic
UNO	Crazy eights spinoff
VIED	Competed
PIGOUT	Stuff oneself
DUCKINTO	Enter quickly
KNEAD	Bread machine cycle
SLAP	Response to an insult
HISS	Angry audience reaction
ICERINK	Skater's hangout
NADIR	Low point
SPEC	Detail in a builder's plan
PRE	Prefix with schooler
AERATE	Infuse with oxygen
AWED	Thinking "Gee whiz!"
SQUIRRELAWAY	Store for future use
SPRY	Nimble
QUAD	Campus area
URIS	Leon ___, who wrote "Mila 18"
LIEGE	Feudal lord
ALLEYES	Spellbound
PURGE	Cleanse totally
RILED	In a snit
ZIG	Sharp turn
ZULU	South African native
IRON	What spinach is rich in
GOOD	Dandy
RAIN	Parade spoiler
FIELD	Pasture
FINE	Dandy
EURO	Continental coin
EGOMANIA	Extreme self-centeredness
YDS	Football distances: Abbr.
BINGE	Spree
BORED	Ready for a change
IGLOO	Home in the Arctic
IRA	S. & L. holding
MONKEYAROUND	Spend time playfully
MISFIT	Fish out of water
ADEPT	Highly capable
ASPIRE	Have ambitions
ATWAR	Fighting
SHONE	Gleamed
PELTS	Animal hides
EDAM	Wax-coated cheese
THESE	"One of ___ days, Alice …"
WISE	Sensible
WWII	What V-J Day ended
INNS	Rustic retreats
AGRA	Taj Mahal city
GYPS	Swindles
RULE	Hold sway
APES	Pals of Tarzan
WOLFDOWN	Devour quickly
OPT	Decide
PONYUP	Pay what's due
ORB	Sun or moon
ANTI	Planning to vote no
PIN	Bowling target
TRIPLE	Not quite a homer
REST	Breather
TIS	"___ the season …"
BASES	Centers of operation
