SSTS	Onetime J.F.K. visitors
SPRIG	Garnish amount
SEANOCASEY	Irish playwright who wrote "Cock-a-Doodle Dandy"
TENDOLLARS	Value of a U.S. coronet head coin, minted from 1838 to 1907
SPIEGEL	See 37-Across
LEMONTART	Tangy treat
LADES	Takes on cargo
ELUDE	Get around
MIL	Cool number?
OFT	With regularity, to Whitman
NOSUCHAGENCY	Organization nickname that plays off the group's secrecy
TROTH	Loyalty
ANNI	Millennio divisions
RILL	Streamlet
TAY	It flows from a loch to a firth
PEEP	Furtive look
CALIFORNIA	Orange's place
CATER	Provide courses for
RANI	Eastern dignitary
ADULTSONLY	Blue, say
INDEBTED	Not settled up
BLASTFURNACE	Coke product maker
UTIL	Monthly expense: Abbr.
GOOGLESEARCH	Producer of hits
ARRID	"Get a little closer" brand
RAIN	Picnic problem
CLEAR	Like good explanations
RAH	Squad booster
GMT	Prime meridian hrs.
GETAREADON	Sense
MAIDMARIAN	Legendary outlaw's companion
TUMS	Product of some relief pitches?
BALLS	Lottery mix-up?
BUDS	Ones to hang with
MARIA	She's a problem that needs to be solved, in song
MAXIM	Words to live by
ADE	Commercial ending with Power
EAU	Need for des poissons
USA	Its members are represented by stars
TRADING	Activity for folks in the pits?
RONI	Commercial ending with Pasta
TIM	Style guru Gunn
DER	With 4-Down, German equivalent of Time
FOXED	Tricked cunningly
EGADS	Cry of consternation
GARBAGE	What's at your disposal?
SYS	Part of Awacs: Abbr.
UNI	Cellular opening?
ANARM	"Hast thou ___ like God?": Job 40:9
ASPER	In line with
PRIMALSCREAM	Supposed aid in curing neurosis
PRELL	Alberto VO5 rival
ACASE	Make ___ for
LARAS	Newswoman Logan and others
MATTE	Certain finish
WARN	Show a yellow card, e.g.
WHAM	Big blow
ARIE	R&B singer India.___
CAPYBARA	Rodent that may weigh over 100 pounds
THREADBARE	Worn
THO	While, for short
DAT	Not dis
BET	Play favorites?
ADIT	Shaft entrance
HAILCAESAR	Senate cry
GOAT	Chimera, in part
OMELETTES	Fare often folded in half
ENNE	-trix kin
