BELLS	Poe poem, with "The"
BIBB	Kind of lettuce
ESAU	Grandson of Abraham
LAWN	It extends about a yard
LADD	Diane of "Wild at Heart"
SKYLAB	1973 NASA launch
RAFTS	A lot
RIBOSE	Nucleic acid sugar
ALOFT	Up
FORJ	One way to jump
TVA	Norris Dam agcy.
SETUPMEN	Relief pitchers prior to closers
POO	Cutesy-___
PASOAN	El ___ (certain Texan)
ONHAND	Present
ODETOJ	Work incorporated in 33-Across ... or a description of this puzzle?
ISAAK	Chris with the 1991 hit "Wicked Game"
ILOVE	With 25-Across, an Irving Berlin song
AND	Furthermore
BAWDY	Blue
BORAT	Hit 2006 film banned in every Arab country except Lebanon
SHE	"___ Bangs" (Ricky Martin hit)
BUNDLEOFJ	Newborn
ESL	Night sch. course
UBOAT	Concern for an Allied ship
BIO	Life, in brief
ASST	Part of many a job title: Abbr.
APIANO	See 15-Across
ALPS	Swiss ___
ENJABLE	Gratifying
EMB	Attaché's place: Abbr.
NAE	Aye's opposite
JCE	"Dubliners" author
AST	Hrs. in Puerto Rico
ALMONDJ	Hershey's brand
AYN	Writer Rand
MACS	Part of the home computer market
HYPE	Talk up
HES	Jack and billy
BEETHOVENSNINTH	1824 Vienna premiere
HEIMLICH	Eponymous doctor with a maneuver
ONNA	Tony-nominated choreographer White
VEG	Part of a food pyramid, briefly
ISR	Neighbor of Jordan: Abbr.
NOJ	What there was in Mudville
THE	French beverage
HOD	Container on a pole
ENES	Hydrocarbon suffixes
SOHO	Home of London's Palace Theatre
JRIDING	Pastime for a car thief, perhaps
JSTICK	Gamer's device
ROONEY	TV's Andy
INNEED	Short of resources
DOA	___ favor
OVERJED	Euphoric
OPUSES	Works
VAC	Dust collector, for short
ESKIMO	Certain sled driver
SONOMA	Region known as the Valley of the Moon
SPAS	Évian and Vichy
SLIME	Lowlifes
TONAL	Like most music
JLUCKCLUB	Best-selling novel of 1989, with "The"
JNER	Al ___, 1984 Olympic gold medalist in the triple jump
CRAB	Zodiac creature
LONE	Solo
UNES	Quelques-___ (some: Fr.)
BYTE	Part of a gig
INE	Like Schubert's Symphony No. 7
IGNIS	Top of a Roman candle?
GRE	Hurdle for some srs.
IRONY	Sophocles skill
CEE	Middling mark
CREME	Ding Dong filler
MANET	Cézanne contemporary
KYD	Elizabethan dramatist Thomas
HERES	"___ to you!"
OBESE	Not just big
