WORKSHOP	Training session
WORD	Promise
OPER	Abbr. to the right of a star
REBA	Hart family sitcom
KNOW	Have in one's head
SLOB	Person with no hang-ups?
HITRECORD	Billboard listing
ONEILLS	Hollywood's Ed and Jennifer
PEDDLE	Hawk
OKAPIS	Rain forest denizens
ORFEO	Monteverdi opera
KARATECHOP	Block splitter
AMAH	Mother's helper in Madras
PONE	Corn ___
INCA	Temple of the Sun worshiper
SEED	Bracket position
OPENLINE	Opportunity for a radio talk show caller
RAMONE	Rock's Dee Dee, Joey, Johnny or Marky
REBOOTED	Got going after a crash
FRANCE	2006 World Cup runner-up
DRAWBRIDGEAHEAD	Sign before a crossing
GIST	Long and short of it
ELLIOT	2000 film "Billy ___"
SOPHOCLES	Author of "Oedipus at Colonus"
SADAT	Surprise visitor to Israel in 1977
OPEDS	Many Molly Ivins writings
PRADA	Label in a Lauren Weisberger title
HOVER	Protect, in a way, with "over"
OPENSESAME	Magical in
EAGLE	Many a quarter back?
AKRON	Highest point on the Ohio & Erie Canal
GLIDE	Smooth move
LEVIS	Weekend wear
EDENS	Garden spots
APROPOS	On point
TACKLED	Took on
ATTEMPTER	Trying person
DEAVER	Reagan adviser Michael
THRIVE	Do well
ADDENDS	Figures above a line
SSGT	U.S.A.F. rank
STOODIN	Covered (for)
SEASALT	Condiment in gourmet cooking
TSARS	Alexander and others
STEEPNESS	What gradeability is a measure of
TRACES	Copies, in a way
ENGRAM	Memory imprint
NOTED	In the public eye
SARASOTASPRINGS	Resort town northwest of Naples
SPIN	D.J.'s offering, informally
AONE	Dynamite
ROTE	Memory work
ARID	Like most of Mongolia
RAVI	Sitarist Shankar
ILED	___'Orléans, Québec
NINE	Musical based on a Fellini film
GNAR	Growl
SAMS	___ Club
POORAT	Having little talent for
CATALINA	Type of salad dressing
INTIME	Before the deadline
ELEVENAM	When many Veterans Day ceremonies are scheduled
NEEDED	Like fourth-down yardage
STRIDERS	Insects that walk on water
