TEEM	Swarm
TARPS	Bad-weather gear
EXERT	Apply
ELVES	Dwellers in Middle-earth
MEET	Cross
ALOAD	Lots
AVENUE	Park in New York, say
LANDMASS	Australia, e.g.
OLDS	Automotive pioneer
ALE	It may come from a barrel
DIVEINTO	Take up wholeheartedly
MLIX	11th-century year
MERIT	Deserve
LIETO	Deceive
INNER	Central
XED	Like some boxes on ballots
AGASP	Audibly shocked
ASSISI	Franciscan home
GHOSTTOWNS	Relics of the Wild West
AIRTO	___-ground missile
SNEER	Derisive look
PENNY	Copper
AXLE	Hot rod rod
VALLI	One of the Four Seasons
EINE	German article
SHINE	Glow
REVERENDEVEREND	"Will the long-winded ___ ___ his sermon?"
REYNOLDS	English portraitist Sir Joshua
ELS	1994 and 1997 U.S. Open winner
SOREN	Philosopher Kierkegaard
PRETENDS	Puts on
ELITE	Power brokers
LISTEN	"Let me tell you ..."
LIME	Green shade
STS	Mark, Anthony and others: Abbr.
YUM	"Tasty!"
HISTORYISTORY	"The majority of British ___ ___ policy coming to fruition"
HEAP	Bucket of bolts
YEWS	Grove in many an English churchyard
UNEATEN	Left over
UTTER	Pure
TES	Your: Fr.
EMIT	Shoot out
SAWTO	Took care of
SSR	Lat. or Lith., once
APE	Ursine : bear :: pithecan : ___
WOW	Amaze
SEATAC	Washington State airport
ATWT	Al's is almost 27
CLOSET	Place to hang your hat
AWE	Amaze
ASTOR	Lady ___, first woman to sit in British Parliament
OLAV	One of five Norwegian kings
LOOTS	Sacks
ARMOR	Mail for a knight
VEEPS	Johnson and Johnson, e.g.
SPOTLESSPOTLESS	"I noticed you use the ___ ___ often than the tarnished one"
ESTATE	Kind of sale
ENTRE	"___ Nous" (1983 film)
SWORE	Promised
SET	Having all the money one needs
REWEDS	Ties a second knot
WONT	Habit
GENOME	Human ___ Project
GIDEON	Bible distributor
RSTU	Alphabet quartet
USE	Milk
PITSTOPITSTOP	"The driver's crew decided to make the ___ ___ priority"
PINON	Attach, as to a lapel
INDIAN	Cuisine choice
PEG	Many a pirate's appendage
ISA	"Life ___ beach"
IMEAN	"That is to say ..."
SANTA	Receiver of lists
ANGER	Tick off
ASKIN	Welcome at the door
KATIE	Actress Holmes
ERRED	Crossed one's i's and dotted one's t's?
SRS	Promgoers: Abbr.
MANDATEANDATE	"The parishioners ignored the ___ ___ meat on Friday"
DISCJOCKEY	Record holder
ANT	About which the Bible says "Consider her ways, and be wise"
ALLY	Confederate
GETS	Understands
TRAVOLTA	"Hairspray" actor
SELIG	Baseball bigwig Bud
ENGINE	Train head
TOIL	Work hard
ORELSE	Ultimatum's end
LID	Top
SSE	Beijing-to-Shanghai dir.
ETO	Ike's W.W. II domain
ATEST	It might lead to a cloud formation, for short
FINALISTINALIST	"The judges put the names of each ___ ___ for the M.C. to read"
FEED	Broadcast signal
IMPERILS	Compromises
SPED	Tore
THD	Minister's deg.
ISAOAOKI	Japanese-born Hall of Fame golfer
NARC	Pusher catcher, for short
EEE	Shoe letters
EVEL	Daredevil Knievel
NYMPHS	Retinue of Pan
VIDEO	YouTube offering
JIVE	Baloney
IRAISE	Poker call
PEDAGOG	Teacher: Var.
GINNED	Deseeded, as cotton
LABOREDABORED	"As one member of the crew ___ ___ co-worker leaned on his shovel"
LUEGO	"Hasta ___"
ANNEX	Incorporate into a city
BOONE	Fess Parker TV role
AGORA	Greek marketplace
BONES	Folk percussion instruments
OFAGE	Old enough
ROT	Break down
OIL	Nigerian export
SHE	Any ship
SMIRK	Smarmy smile
HANOI	Red River city
ENATE	Related on the mother's side
UNOCAL	Company bought by Chevron in 2005
GOFOR	Dig
MANTOMAN	Box-and-one alternative
MATA	___ Hari
OTTO	Football Hall-of-Famer Graham
ENOKI	Mushroom variety
SONATINAONATINA	"You won't find any ___ ___ Turner album"
SOB	Melodramatic response in comics
NAT	Jazz cornetist Adderley
GENES	Wilder and Hackman
OREG	Wash. neighbor
LATKE	Potato pancake
TROT	Race pace
OXEYE	Daisy type
BASE	It's frequently stolen
STAID	Calm
OKIE	Tom Joad, e.g.
