CFO	Fiscal exec
CRUELANDUNUSUAL	Torturous, perhaps
FERRETOUT	Dig up
OVERSHOE	Rubber
MRS	Form check box option
MOLS	Compound fractions: Abbr.
REO	Old bus maker
SURGEPROTECTORS	They may avert computer damage
CREVE	With 9-Across, Missouri city whose name means "broken heart"
CABALS	Intriguing bands
ELATED	High
COEUR	See 7-Across
CON	Side opposite 30-Down
RETILE	Fix, as a shower stall
LAURELS	Composition of some old crowns
LAPS	Pool regimen
STIR	Kindle
DOLORES	1941 #1 hit for Tommy Dorsey
DOE	Fawning type
SOLE	Print maker
ABERRATIONS	They're irregular
INS	Connections
GTO	The Monkeemobile, e.g.
PALESTINE	Former British mandate
HEIL	Greeting with a salute
HAITI	It has departments named Nord, Sud and Ouest
SLATHERS	Puts (on) thickly
STAPLE	Mainstay
SENATE	A house divided?
THERE	"All done!"
SNOOD	W.W. II factory wear
REHIRE	Bring back on board
ROMANCERS	Beaus
DUE	Bill word
PRONETO	Frequently exhibiting, by nature
PREVENTS	Checks
RELIEF	What some maps show
SHUT	Block
SPITTED	Stuck at a roast
HUMORME	"C'mon, at least consider it!"
PREMARITAL	Like some relations
PRO	Side opposite 9-Down
ANTONIO	The merchant of Venice
LEAPSON	Seizes, as an opportunity
PUN	It may not have been intended
RELATE	Connect
ENE	Chemical ending
IMUS	Radio figure who co-wrote "Two Guys Four Corners"
SCENE	Happening spot
OVINE	Like bellwethers
ACTA	Records
ASIAN	___ Games (quadrennial event)
TOSCA	Floria ___, Puccini title role
ACAT	See 45-Down
EEC	Intl. trade letters
ESTOP	Bar
ESSE	Forum infinitive
TRUECONFESSIONS	Story-filled magazine since 1922
ONE	With 41-Down, quaint sandlot game
SOW	Broadcast
EMANANT	Flowing forth
ROSARIO	Argentine port on the Paraná
DELETES	Strikes
SWENSON	Housekeeper player on "Benson"
