SMARTS	Savvy
SHOTPUT	Casting event
MOBRULE	Ochlocracy
ALLURER	Siren
REASSESS	Have second thoughts about
TUTTE	"___ le feste" ("Rigoletto" aria)
SPEARS	Sticks, in a way
HANDSPAN	Basketball player's stat
HOWL	React to something hilarious
ASHE	Court great
NBA	Grp. concerned with traveling
DOT	Part of some letters
SUNNI	Certain Iraqi
PREEMPT	Bump
ANXIETY	Cause of some attacks
NETLOSS	Business setback
HOLEUP	Stay out of sight
OSBOURNE	TV family member whose words are often bleeped
OBLATE	Layperson in a monastery
WHATNEXT	"And?"
TRUSTABLE	Not at all shady
BSA	It's associated with dens: Abbr.
NEIL	Diamond with a mike
PURSERS	They may hold money for passengers
MIMEO	Run off, in the old days
MINOT	North Dakota city
ULEE	Beekeeper in a 1997 film
SALAMI	A hero may have it
LUSTS	Cravings
APR	When D.S.T. begins
MOO	Call from the field
PTS	Tallies: Abbr.
TERSE	Clipped
EARLS	London's ___ Court
UPON	At the time of
TYS	QB Detmer and others
SALESROOM	Place to display goods
LEA	Player of Caroline in "Caroline and the City"
ESP	Questionable gift
MACARENA	1996 song that was #1 for 14 weeks
DID	Downed, as shots
DIRECTV	Dish Network rival
IRONORE	Picked-out material?
DROOLER	One who's overly eager
REST	No longer work
TAPED	Caught on camera
PALAVER	Discussion
EGOTISM	Not thinking of others
DETENTE	Thaw
IRR	Like some discounted mdse.
LAPSUP	Receives eagerly
UNO	Game similar to crazy eights
POPPED	Burst
CAGE	It may be for the birds
ROODS	Four in an acre
DWEEB	Loser
NOTALOT	"What have you been up to lately?" response
TERRE	Land, in Lyon
ENOW	Aplenty, once
COOPERATE	Not work independently
CANE	Mobility improver
OWEN	Actor Reginald, who played both Dr. Watson and Sherlock Holmes
COLESLAW	Part of some platters
SLO	Pitch preceder
LIT	Under the table
PREVIN	Conductor knighted in 1996
TREELINE	Tundra borderer
ERNEST	Painter Meissonier
VERBOTEN	Taboo
DEARME	Worrywart's words
