HIFI	Player of old tunes
HYMN	It may precede a 48-Across
ISEE	Clairvoyant's opener
FETALWORKER	One doing amniocentesis?
IRANIAN	Qom native
LAMBS	Kind of wool
LEGEND	See 6-Down
ACURA	With 5-Down, auto debut of 1986
MOLT	Shed
BLAH	Nondescript
SEGA	Arcade name
CAMPO	Grassy plain
COMFY	Snug
ARIAN	Sect follower?
MINN	Voyageurs Natl. Park locale
POD	Minivehicle
ONESELF	Something it's good to be
CAPO	Syndicate V.I.P.
CASSINO	Card-matching game: Var.
ALFA	Popular sports car, informally
POEM	Lay
OGEE	Molding with a curved profile
YSER	Scene of 1914 fighting
ECOLE	Place to learn anglais
ORION	Constellation next to Taurus
ALOG	As easy as falling off ___
META	Prefix with physical
GULAG	Solzhenitsyn novel setting
MINDERSFEE	Money for a babysitter?
RELAY	Communications satellite, basically
NEANDERTHALFAN	One enamored of early Europeans?
DARE	Certain bet
LAST	Go on
SESAME	___ noodles (Chinese dish)
LIANA	Climbing plant
AYN	Writer Rand
ELI	Crimson rival
COWARD	Chicken
CASEOF	Words in many a Perry Mason title
OTELLO	Verdi opera
HMOS	Med. choices
HOUSE	Put up
MUNI	Bond type, briefly
ONTO	Aware of
ISLANDER	Robinson Crusoe, e.g.
INAPT	Unsuitable
SOTO	Explorer Hernando de ___
DUMB	One way to be struck
ETAL	List ender
RHEE	First president of Korea
ATONE	In agreement
MOUNTAINOFYOUTH	Sandbox pile?
MASSE	Pool shot
AGITA	Unease
INMAN	Hero of the 1997 best seller "Cold Mountain"
SER	Homily: Abbr.
DAUNT	Intimidate
DIALOG	Kind of box
GNAT	Tiny swarmer
MAE	Common female middle name
ELK	Pride : lion :: gang : ___
FISSIONIMPOSSIBLE	Manhattan Project skeptic's motto?
FLANK	Meat cut
NATES	Rear end, in anatomy
SHEBAT	Month before Adar
SATBY	Watched and did nothing
ITS	"___ Too Late" (King hit)
OLE	___ Miss
LASE	Do some high-tech surgery
ATAT	Rat-___
HAT	It may be cocked
FORSALE	Sign on many lawns
SON	Young fellow
TITAN	Cronus or Oceanus
TRINI	Singer Lopez
INTEN	One ___ (poor odds)
JETSFAN	Giants Stadium spectator, maybe
JODIE	Actress Foster
FASTERPIECE	Work that's played allegro?
AGEISM	Certain discrimination
NANTES	Birthplace of Jules Verne
ONO	Plastic ___ Band
ERNE	River to Donegal Bay
EDENS	Delightful places
ROBB	See 80-Across
RINSE	Dentist's order
AGA	Turkish title
THANKGODITSMRIDAY	Words from a long-suffering orthopedic patient?
TOSH	Reggae pioneer Peter
HALE	In good shape
ATOR	Suffix with decor
OGRE	Beast
MCMX	Year George V took the throne
RAUL	Actor Julia
SEN	With 72-Across, former Va. official
OAT	Kind of bran
GENE	Provider of coded instructions
CANIT	"Zip your lip!"
TIT	Small songbird
SLOWBURNINGMUSE	Greek goddess with a great deal of patience?
WOMANLY	Feminine
BITTE	Polite word to a Fräulein
UNSEWED	Not yet attached, in a way
GARR	"Tootsie" co-star
GEESE	Orderly fliers
GLUE	Mucilage
EARFLAP	Cold weather protector
HEROINES	Anna Karenina and others
AXLE	Car bar
ALARMS	Wake-up calls
ALTAIR	Star in the Summer Triangle
MTS	Washington and McKinley: Abbr.
NPR	"Fresh Air" airer
NONCE	Present occasion
PUSHY	Aggressive
SLURP	Sound at a soda fountain
SUTRA	Kama ___
OPIATE	Cocaine, for one
OMEN	Black cat, to some
PICA	Type type
IGOR	Hunchback of film horror
FOURMINUTEFILE	Slow computer download?
FOIL	Frustrate
MAMA	Early 50's TV comedy
INAN	___ uproar
NITE	When the stars come out, in ads
LANK	Hardly portly
EPEE	One-on-one sport
MIGNEWTONS	Acceleration forces of Russian aircraft?
TRA	Refrain part
ANITA	Author Brookner
LEAP	Spring
ECOL	Park ranger's study: Abbr.
ERICH	Writer ___ Maria Remarque
MATRI	Motherly start
ACNE	Trouble spots for teens
NARY	Hardly
DALEY	Chicago's Richard ___ Center
ANEAR	Proximate to, to poets
PEKE	Cutesy-poo dog
