SOLACE	Comfort
SIL	Part of R.S.V.P.
ORU	Tulsa sch.
LOSTCAUSE	It's not worth pursuing
ANTIC	Caper
COINOP	Like some laundries
ENNE	Feminine suffix
MAPLES	They're tapped in the woods
MTM	'70s sitcom producer
AHERNE	Actor Brian of "Juarez," 1939
PERON	President ousted in a 1955 coup
LAIDITON	Buttered someone up big-time
ESC	PC key
SPA	Hot spot
CHOWDER	Cape Cod course
CRAFTED	Made
HATCH	Come out of one's shell
OTT	Old Polo Grounds headliner
WHIRRS	Fans' sounds
DOMOARIGATO	Japanese "thank you very much"
ELENI	1983 Nicholas Gage book
RESIN	Sticky stuff
IRONON	Transfer
THEASP	Daddy Warbucks's henchman
RATHOLE	Lowly digs
LUSTINAMERICA	Remake about a red, white, and blue libido?
ADSORB	Gather in a condensed layer
ATTIMES	Now and then
TINED	Forklike
ROD	Dowel
AFC	Patriots' grp.
ANT	Tiny tunneler
RONI	Rice-A-___
ROCCO	Boxer Marciano's given name
RUHR	Essen's basin
ONAIR	Transmitting
SINNININTHERAIN	Remake about impiety during a storm?
INFUN	Just for laughs
NONES	Canonical hour
IRISH	Lucky ones?
ETAIL	Much commerce nowadays
UNA	Acapulco article
PRONE	In position for a back massage
RAE	Arctic explorer John
TORTE	No dessert for dieters
TSR	Game co. that originated Dungeons & Dragons
HAUS	Rhein residence
SQUEEZES	Tight spots
ARF	Pound sound
HONI	___ soit qui mal y pense
HITIT	Signal to start
DOA	___ good turn
OBEYED	Observed
INI	Ristorante suffix
NEVER	"When hell freezes over!"
ISEE	"Gotcha"
RISQUEBUSINESS	Remake about a strip club?
UPON	Familiar with
SIKH	Many a Punjabi
SOHO	Swinging London district
BILGES	Seepage collectors
LEASEOUT	Rent
REUP	Accept another tour of duty
NIT	Coll. hoops competition
SHORELEAVE	Liberty
RAFE	Olympic track great Johnson, familiarly
EONS	Time immemorial
NAGANO	1998 Winter Olympics site
SUIT	Clubs, e.g.
KID	Rib
DYE	It won't run if it's fast
HAY	It's cut and dried
ATEE	To ___ (exactly)
THENAUGHTYPROFESSOR	Remake about a lecherous instructor?
TILED	Floored, in a way?
HALLUCINATE	Sense the unreal
GLIB	Smooth
PLODS	Trudges
ROTC	Cadet's org.
SIGN	Communicate silently
DIAZ	Rodrigo ___ de Vivar (El Cid)
DANE	Great ___
GIL	Diamond great Hodges
ELO	"Evil Woman" grp.
EDIE	Pop singer Brickell
ALLEGATION	Claim
GODOT	Beckett's no-show
ORALB	Toothbrush handle?
NOLIE	"This is on the level"
OTC	Stock page letters
CARPI	Wrist bones
GOIN	Enter
IDONTCARE	"Whatever you want"
NEMEA	Where Hercules slew a lion
NELSON	Hold in the gym
BROADCASTNUDES	Remake about a TV station/F.C.C. controversy?
ATTHEEND	Where a whodunit is solved
SHINED	Like gleaming shoes
TON	Load
SEWS	Leaves in stitches
EDU	Web address ending
DOT	What precedes 93-Across
TRIPSON	Stumbles over
ALTS	Flight stats.
RHO	P
TOME	A lot of volume?
CIO	Union partner: Abbr.
INSTEP	Marching together
RELIT	Like a twice-used cigar
EST	Ballpark fig.
APING	Following closely?
AVIARY	Zoo section
GEIGER	Counter creator
NEW	Fresh
SAINTMISBEHAVIN	Remake about a holy person's slip?
SPOCK	Logical Mr.
AURAE	Atmospheres
MARTI	Cuban national hero
ALBEE	"Seascape" playwright
ESTAS	These, to Tomás
SAUDI	Yemeni neighbor
PUNS	Wits' bits
APT	Quick
ELI	Yale Bowl player
ENIAC	Seminal mainframe
NYPD	"___ Blue"
ORATORS	Figures of speech?
ORS	Scrubs sites, for short
THEBAWDYGUARD	Remake about a ribald watchman?
TOR	Rocky top
HRE	Realm of Otto I: Abbr.
WYE	Slingshot's shape
ROS	Children's author/illustrator Asquith
DST	What to spring to when springing ahead: Abbr.
CATERTO	Pamper
ORNERY	Difficult
PEDROS	San ___ (Western mountains)
KEEPSIN	Represses
REDEYE	Night flight
DRIEST	Least interesting
