CAPRI	Bay of Naples isle
CUSP	Zodiacal delineation
ANTE	Get the pot going
PIER	Dock
ROMPS	Frolics
INSECT	Bug
EGG	Custard base
ESAU	Birthright seller, in Genesis
GILAS	Poisonous desert dwellers, for short
GRILLE	Radiator front
PATTY	Hamburger, e.g.
POLOPONY	Sportsman's mount
AMAT	Amo, amas, ___
TAXI	Curbside call
THEO	Lt. Kojak
YARN	Kitten's plaything
UNION	Marriage
SIR	Word for a superior
OMAHA	Nebraska's biggest city
STEMS	Pipe parts
ALI	Sports Illustrated's 1974 Sportsman of the Year
LAXER	Not so strict
PERPETUALMOTION	"Impossible" achievement
TIARA	Pageant topper
MIX	Variety
SCI	Poly-___ (college major)
SLIP	Faux pas
ISH	Language name suffix
INFRA	Prefix with structure
SCOUT	Reconnoiterer
HAUNT	Visit again and again
TAX	Excise
XII	Top of a clock dial
EXOTICA	Strikingly unusual things
TOOK	Was in, as a class
INUIT	Eskimo
COTTA	Terra ___
ASHEN	Visibly frightened
NCAA	March Madness org.
ANTI	Voting "no"
RIG	Offshore apparatus
GNU	African antelope
NONOS	Prohibitions for Junior
FOUNTAINOFYOUTH	"Impossible" discovery
TOMORROW	It's another day
ONA	Out ___ limb
FELON	One who has life to look forward to?
RUNTO	Reach in amount
UNE	Parisian article
KITE	Toy on a string
ATTIMES	Not always
EPA	Smog-battling org.
SIMILE	Pretty as a picture, e.g.
ALF	Furry TV alien
FUGEES	"Killing Me Softly" pop group, with "the"
TAN	Beachgoer's goal
OPIE	Andy's boy, in 60's TV
EMAIL	Quick communication
OUR	One of ___ own
RAVEL	"Boléro" composer
PROGRAMMINGAVCR	"Impossible" activity!
PEAS	They may be strained in young families
REMI	Do-___ (cabbage)
OLIN	Actress Lena
GENE	Biological trait carrier
INTO	Enjoying, in slang
VERO	___ Beach, Fla.
CRIB	Tot's place
RYES	Whiskies
EELER	Angler of morays
IAN	Holm of "Chariots of Fire"
EVERY	More than some
AMINO	Kind of acid
LIT	English ___
EERIE	Goosebump-raising
SINEW	Inner connection?
ELO	"Don't Bring Me Down" rock grp.
SLOBS	Not neatniks
