QUESA	Mexican dish
QANDA	Informal interview
ULEES	1997 film "___ Gold"
ELWES	Cary of "The Princess Bride"
SITSUP	Starts to rise from bed
ADS	Commercials
OME	Cheese ___
OTTO	Palindromic guy
MEAT	Crux
ELKIN	Satirical novelist Stanley
POKER	Gamblers' holdings
PSALMS	Whence the line "Thy word is a lamp unto my feet"
ODD	Anomalous
KNIT	Make winter wear, maybe
EAVE	Overhang
RHEA	Mother of Zeus
ALLID	-
TEL	-
SDNAH	-
NEWTS	Creatures able to regenerate lost limbs
TAKEADIVE	Lose by design
ELIA	"Last Essays of ___," 1833
DEES	Barely passing grades
NOTILL	Plowless planting method
NEALE	Writer Zora ___ Hurston
TEA	After-dinner serving
ASSURE	Guarantee
REAR	Employee entrance location
NIMH	"The Secret of ___" (1982 film)
HILL	Sledding spot
PEARL	Stickpin head
RIAL	Iranian coin
LALAW	1980's-90's ensemble drama
ASIMOV	Writer who said "I am not a speed reader. I am a speed understander"
MODE	Fashion
OVER	Of higher rank than
VEDA	Sacred Hindu book
SUN	Big shiner
STAT	Figure
UHUH	"That's a lie!"
NERO	Claudius's successor
ALIAS	Protective cover?
SLUR	Defamatory statement
LOVE	Motherly instinct
THEYREALLFOLDED	What 1-, 6-, 9-, 68-, 69- and 70-Across have in common
YARN	Shaggy-dog story
FROWN	Dirty look
OATH	It follows "Repeat after me"
AURA	Mystique
LAURA	Radio host Schlessinger
ERA	Historical topic
THORPE	1912 Olympics track star
PETIPA	Marius ___, "the father of classical ballet"
EURO	100 cents
WROTH	Angry
HOSIER	One stocking stockings
NEUT	Like some nouns in Lat.
TINCT	Coloring
WHOMPS	Beats handily
MERCI	Keats's "La Belle Dame Sans ___"
PARKA	Fur-trimmed garment
STICH	Line of poetry
LAB	Science center
LENS	Eye piece
AMER	From the States: Abbr.
BOWE	1992-93 heavyweight champ
TRITON	Moon of Neptune
TARA	1939 movie setting
OLAV	Patron saint of Norway
SEAT	Accommodate
EMOTIONAL	Worked up
TSP	Medicinal amt.
CIRRI	Wispy clouds
CDS	File holders, for short
NEWSP	Items sold at stands
CRA	Neckcloth
DECKC	Places to sit on a ship
SREPA	-
TAV	-
SRIAH	-
