BALM	Healing ointment
BABES	Toyland visitors
ALOFT	Overhead
LOOFA	Bath sponge
MEMORY	Dalí's "The Persistence of ___"
MATE	Partner
MARTIANS	Invaders in an H. G. Wells story
AVA	Gardner of film
TINT	Windshield glare reducer
EDGES	A hexagon has six of them
BOWIE	David who sang "Space Oddity"
BADKARMA	Comeuppance for evil actions, supposedly
ODE	Laudatory poem
WHAMMYBAR	*Guitar accessory that adds vibrato
IOTA	Itsy-bitsy bit
ECHO	Canyon sound effect
ALOE	1-Across ingredient
AVID	Enthusiastic
ADHOC	Like some on-the-spot wireless networks
BOOMERANG	*Toy that's thrown
ERLE	Gardner of mystery
DEATH	Point of no return?
EFFORT	What an E may stand for
TEAK	Deck wood
APP	Download for an iPhone
MAO	China's ___ Zedong
STARLIT	Like a clear night sky
TRAWL	Fish with a net
SPASM	Tic
SAAB	Sad-sounding car company?
YEARS	1492, 1776, 2001, etc.
SPIEL	Sales pitch
PRAYTO	Seek divine help from
TEND	Be inclined (to)
OLGA	___ Korbut, 1972 Soviet gymnastics star
TAB	Indent key
TSAR	Old Russian autocrat
ATRA	Gillette razor
BAMBOOZLE	*Hoodwink
NAPE	Back of the neck
ETTAS	Singers James and Jones
MABEL	Silents star Normand
STARTSWITHABANG	Has an exciting opening number, say ... or what the answer to each starred clue does?
ROIL	Agitate
TRESPASS	Ignore a property owner's signs, perhaps
HOTTODDY	Warm bedtime beverage
ARMOR	Knight's attire
LETO	Actor Jared
RDA	Fig. on a vitamin bottle
RABIES	Possible result of an animal bite
SEE	Visualize
LATCH	Door fastener
CRUE	Rock's Mötley ___
HAIRDO	Bob or beehive
OLSEN	Jimmy of the Daily Planet
NEPAL	Country with Sherpas
STRANGE	Bizarre
NOKIA	Finnish cell phone giant
GUESS	"___ who?!"
EIGHT	Number in an octet
EMO	Angsty music genre
EPIC	"Ben-Hur," for one
MISO	Soup with sushi
PEER	Look searchingly
ROMA	Italia's capital
OUIOUI	"Certainly, madame!"
PIZZA	Domino's offering
ZEN	Buddhist sect
POWDERKEG	*Situation set to explode
WIZ	Brainiac
ISLES	"Pirates of the Caribbean" locales
AMID	In the thick of
DISH	One who ran away with the spoon, in a nursery rhyme
COENS	Directors Ethan and Joel
LAZY	Slothful
OAST	Kiln for hops
