RASTAS	Many Bob Marley fans
RAGGED	Uneven
ALLELE	Cause of hereditary variation
SLINKY	Spring toy
TONES	Softens, with "down"
AUDI	Maker of the A4, A6 and A8
STAN	1972 Wimbledon winner Smith
BASHED	Criticized severely
BIGBEN	London landmark
ALMOND	Popular candy bar ingredient
SLIT	Crack
HINT	Touch
ENOL	Hydroxyl compound
DIRE	Life-or-death
BREAKUP	Call it quits
BRIBER	Underhanded one
REMIX	Dance version of a record, say
EDEN	First family's home
ATAD	Slightly
KANSASCITYCHEF	Midwest cook?
UPI	News inits.
PET	Honeybunch
ALLOUT	No holds barred
ILLINI	Big Ten team
REDTAPE	Cause for delay
GLINDA	The Good Witch of the North
GMINOR	Key of Mozart's Symphony No. 40
IMEANIT	"This is serious!"
GENEINABOTTLE	DNA sample for lab analysis?
ALUMS	Graduates, briefly
BINDS	Fixes
ELKS	Civic group
LEN	Football Hall-of-Famer Ford
SEX	Cause for an R rating
SEE	"Was that so hard!?"
ADD	Continue
DIAL	Dove competitor
DOLL	Honeybunch
DEY	"L.A. Law" actress
SOUNDBARRER	Librarian?
SIGNOR	Mister in Milan
ORGS	Grps.
BACON	Part of an Atkins breakfast
AWAIT	Look forward to
RANCH	Italian alternative
RRS	Some transp. stocks
CASIO	Big name in watches
CALF	Leg part
ASWAN	City just north of Lake Nasser
FIRM	Al dente
FEET	Leg ends
AWARE	On the ball
PASCAL	Pressure unit equal to one newton per square meter
PLAYA	Spanish beach
BADEGGS	Good-for-nothings
BATCH	Baker's unit
ALONE	Peerless
DINNERANDAMOVE	Playboy's agenda?
SCANS	Checkout procedures
STINT	Time on the job
ILLWILL	Venom
IRKED	Teed off
ALIENS	Saucers may hold them
STOIC	Zeno, notably
SEUSS	Writer/illustrator of the story "Gertrude McFuzz"
ARAFAT	Noted 2000 guest at Camp David
ASHES	Smoking result
TONTO	Sidekick of radio, TV and film
PEINTHESKY	Airline's exercise program?
PRUNE	Bush whack?
EARLY	With time to spare
NYPD	"___ Blue"
PHASE	Full moon, e.g.
DENTS	Dings
CNN	Atlanta's ___ Center
RERUN	TV Land showing
EJECT	Give the heave-ho
AHEAD	Up
DEARME	"Goodness gracious!"
CHE	Revolutionary Guevara
HEEL	Lab instruction?
LARGE	Goodly
JUSTMARRED	Recently nicked?
MORAL	Tale end
APACE	With celerity
RAZED	Leveled
ETHAN	Hollywood's Hawke
TRAP	Sting, of sorts
RAVENS	N.F.L. team named after a poem
VAIN	Puffed up
OPALS	Gifts on October birthdays
BAREST	Uncovered the most
BAUM	Creator of 23-Across
SEARACE	Regatta
SWAP	Switch
EIRE	Leprechaun's land
CRAZY	Beatnik's exclamation
CRI	Dernier ___
CARAFES	Wine vessels
CRETE	Domain of King Minos
WINGIT	Proceed without a game plan
BRACE	"___ yourself!"
BOP	Thwack
RUMP	Rear
ARDEN	Shakespearean forest
SOILEDSUEME	Dictator's snide remark?
SIMONE	2002 film about a virtual actress
STILLS	Movie shots
UNMASK	Expose
TSE	Poet's monogram
TARGET	Mega-retailer based in Minneapolis
STERNA	Breastbones
EASYAS	Snap courses
PEA	Popular soup ingredient
LIP	It may get glossed over
LASER	Vision-improving device
TNT	1863 German invention, for short
DATA	Holdings of some banks
DONHO	"Tiny Bubbles" singer
MADAM	Lady of honor
APES	Makes like
DEMO	Try it
BEDTIMESTORES	Pajama sellers?
BALT	Estonian or Lithuanian
EROS	Olympic archer
DECK	Knock down
TOAT	Just so
SHAQ	Self-proclaimed "The Big Aristotle"
TUTU	You might go for a spin in it
IHOPESO	"God willing"
ICE	Kind of beer or bag
HAY	Stable staple
AREOLA	Ring of color
HUNGRY	"Want to grab a bite?"
CAVEMEN	Neanderthals
LOCALS	Tourists' counterparts
ATHENA	Favorite daughter of Zeus
EYESORE	Garbage dump, say
TSKTSK	"Shame!"
QUOTAS	Sales reps' goals
