OSCAR	___ Mayer (wiener maker)
OKS	Gives a thumbs-up
SIT	Dog command
COO	Make dove sounds
AWOL	Person missed by a 63-Across
RALEIGH	North Carolina's capital
STAG	Doe's mate
SPIKE	Volleyball kill
TAGS	License plates
ADE	Summer cooler
GROOMERS	Ones using brushes and combs
BET	Poker action
BENCHWARMER	Substitute
EVIL	Worse than knavery
TELE	Prefix with phone
KIOWA	Great Plains tribe
PADRE	San Diego baseballer
ENRICO	Singer Caruso
EVE	Holiday preceder
STOOLPIGEON	Informer
PATH	Trodden track
NIL	Nothing
LEAKS	Is in danger of sinking
ORACLE	Prophecy giver
ASH	___ Wednesday
BBC	U.K. news source
BLAMED	Held responsible
BEWARE	"___ the Ides of March"
CHAIRPERSON	Committee head
ITE	Mineral suffix
AMISH	Mennonite group
AZTEC	Ancient Mexican
LEHIGH	Pennsylvania university
ISM	Suffix with organ or patriot
SZECHWAN	Like some Chinese cooking
SEMIS	Games before finals
ADAPTS	Modifies
NODSAT	Signals, as to an auctioneer
AWASH	Overflowing (with)
RETRO	Rocket engine
RIDER	Document amendment
ADO	Hubbub
MAIM	Mangle
DIMES	Nickels-and-___ (bothers with trivialities)
DEVELOPS	Unfolds
GRAD	Last year's sr.
GUS	Film director Van Sant
ERR	Misjudge
MEDIC	Military doctor
MAGICS	Voodoo and wizardry
DUMPS	Unloads
DEVIOUS	Crafty
DEPRAVES	Corrupts
RAG	Scott Joplin tune
PESETA	100 centimos
PERP	Whom a copper apprehends
EAGER	Like a beaver
REV	Minister: Abbr.
REHEM	Fix, as cuffs
RST	Letters after Q
VIRGIL	"Aeneid" poet
VEEP	Prez's #2
IDLE	Inactive
EERIE	Like ghost stories
ECRU	Creamy shade
ETNA	Sicilian spouter
EDS	Koch and Asner
COUCHPOTATO	Habitual boob tube watcher
UAW	Big Detroit inits.
AIR	Lungful
TOG	Coat, informally
ONE	"You're Still the ___" (1998 Grammy winner)
ELO	"Do Ya" rock grp.
SPARE	Extra
UNION	The "U" in U.S.S.R.
PEN	Ballpoint, e.g.
SWUM	Gone across a pool
SARGE	Barker of military orders
