JAR	Pickle container
JETSET	High-fliers
AVIATE	Fly
REPLAN	Change tactics
INERT	Motionless
ICED	Like an eclair
NEDS	Composer Rorem and others
EST	Superlative ending
RAH	Short cheer
TREADS	Firestone features
VOGUE	Fashion
VICAR	Clergyman
ORAL	Kind of surgery
GALLERIA	Indoor court
UTE	Indian with a bear dance
EES	Some M.I.T. grads
EVE	Matriarch of all matriarchs
CESAR	Actor Romero
IRATE	Boiling
TIPPEDTHESCALES	Weighed in
PAL	Chum
STET	Leave be
SALADS	Light lunches
ATALL	To any extent
ETAL	List-ending abbr.
UDDER	Moo juice container
USED	Wielded
DESTROY	Partner of search
EPA	Grp. overseeing toxic cleanups
PACT	Warsaw ___
AYE	Word of assent
TEN	Perfect rating
WISEST	Most prudent
WOKS	Canton cookware
IRE	Land west of Eng.
FRAY	Become raveled
FLOW	Current
SORES	Painful spots
SCAT	Sing "shooby-doo"
ALICE	Carroll adventuress
ABED	Out for the night
ROCKEDTHEBOAT	Caused disharmony
ROIL	Aggravate
OFFERING	Part of a church service
HESS	Piano-playing Dame
ENE	Ariz.-to-Kan. dir.
SOFAS	Napping spots
SRO	Sign of stage success
RENEW	Magazine exhortation
RIFT	Break in relations
CLOSED	Out of business
CLUE	Professor Plum's game
LAPDOG	Pomeranian, for one
PCS	Compaq products
PLEATS	Stitched folds
CORNEA	Window of an eye
SENSEN	Breath mint brand
OLE	___ Miss
SLAYS	Engulfs in amusement
SPLAT	Sloppy-landing sound
ALOE	Cream ingredient
ADE	Suffix with stock
RIPUP	Tear to shreds
ILES	France's ___ de Glenans
MODERN	Part of MOMA
METS	Queens team
OBEY	Follow the code
SPILLEDTHEBEANS	Blabbed
STA	___ Puf fabric softener
PIN	Wrestler's goal
TRY	Have a go at
HAP	Gen. Arnold of W.W. II fame
TINEA	___ pedis (athlete's foot)
ORATE	Take to the stump
TEE	Certain shirt
ANGST	Anxiety
GYPSY	Wanderer
SAN	Japanese honorific
