ASPIRES	Seeks
ACCUSAL	Charge
SURROGATEMOTHER	One making a special delivery?
PLEASETAKEASEAT	Host's invitation
ITAL	Leaning, in a way: Abbr.
RUS	Bulg. relative
EREMITES	Many ascetics
SERAPES	Ranchero dressing?
GAROTTE	Throttle: Var.
GUSTO	Vivacity
ALIS	Noted ring family
RTS	Football linemen: Abbr.
OUTEATEN	Shown up at a restaurant?
TRANSMIGRATIONS	Souls' post-death passages
TENYEARSENTENCE	It's better than life
ESTAMPA	Imprint: Sp.
CULTUREVULTURES	Some literati
VESTS	Occasional bullet stoppers
CREASERESISTANT	Unlikely to be pressed
URAL	The Sakmara feeds it
MASTS	Clipper supporters
ENYA	Singer with the 4x platinum album "Watermark"
SOS	Help-wanted indication
HIPTO	Knowing what's what about
HAMEL	Five-time "Hill Street Blues" Emmy nominee
KASEM	Big name in Top 40 countdowns
KIDIS	"But the ___ not my son" ("Billie Jean" lyric)
AGEMATES	Contemporaries
MIXES	Is sociable, in a way
BITMAP	GIF or JPEG alternative
BARKS	Potential burglary deterrents
LATIMES	Longtime "Column One" printer, briefly
MADEIRA	Port alternative
MANLY	Oozing testosterone
TAXES	Proverbial certainty
PARINGS	Some kitchen waste
POLLUTE	Dirty
TEKEL	Bit of biblical "writing on the wall"
TABITHA	"Bewitched" spinoff
WONKS	Eggheaded experts
WALLEYE	Pikeperch
REO	Old autodom's Model M or Model T-6
ONEREEL	Length of some shorts
AMES	Columnist and graphic novelist Jonathan
CALLS	They're often screened
CAUSAL	Leading to something
MANN	Jazz flutist Herbie
MARTES	Tuesday in Tijuana
BOA	Uncomfortably tight wrapper?
LALLY	___ column (concrete-filled steel cylinder)
LLOSA	Novelist Mario Vargas ___
MATTE	Lacking luster
MISDO	Muff
ITSALULU	"This one's incredible!"
ARRS	Musical settings: Abbr.
WIRIER	More lean and muscular
WAIT	Emergency room concern
THEROSETTASTONE	Aid in understanding some old pictures
TVS	Some surfers' needs
HEARSAYEVIDENCE	Court no-no
ARTSALE	It may offer a variety of oils
STOSSEL	Former "20/20" co-anchor John
