ACDC	Dual elec. designation
ADAR	Month before Nisan
CANI	Kid's plea
DRIVEONEBATTERY	What a few volts might be enough to do?
CELEB	Star
RIGS	Puts in proper order, nautically
ROO	Playmate of Piglet
IRONON	Like some patches
GOKART	Kiddie racer
STENCH	Cause for nose-holding
MEL	TV boss of Flo and Alice
MAYS	The Say Hey Kid
EMO	Modern rock genre
LEFTBANK	Parisian art district
CRETE	Modern home of ancient Knossos
CLEVER	Artful
RAYE	Martha in denture ads
EXERT	Apply with might
TEASE	Josh
ERRED	Was off
DARE	Brave
COROT	"Orphée, Le Repos" painter
CRAYON	Preschooler's medium
AMES	Skunk River city
STROVE	Endeavored
LAXER	Less taut
ANIL	Blue dye
ROOKERYOFTHEYEAR	Winning bird colony?
RASED	Demolished, in Derby
HAVE	Experience
RIVERA	Mexican muralist
RAJAS	Punjabi royals
NANAS	Some grandkid spoilers
TRAVERSE	Crosspiece
EBAY	Company whose name is pig Latin for an insect
ORCS	Tolkien Moria warriors
ABOVE	Over
ANALOG	Like clocks with hands
TED	Williams of Boston
ANO	Mayo to mayo
ACERB	Bitter
NAVEE	H.M.S. Pinafore force
JOINTHEKNAVERY	Invitation from a rogue nation?
ISU	Sch. in 19-Across
KEEL	Frigate part
YETI	Mythical Himalayan beast
CANCANS	Chorus line dances
CRANE	Origami bird
DEANE	Silas of the Continental Congress
ECON	Eliot Janeway subj.
CINDERYCRAWFORD	President Bush's hometown after a fire?
ONAN	Go ___ outing
NASA	Explorers' org.
EVERS	Civil rights leader Medgar
USER	Manipulative sort
SABRE	Buffalo hockey player
EPA	Org. concerned with PCB's
ROBS	Holds up
ELK	Lodge member
PATINA	Sheen formed with age
PAULA	Newscaster Zahn
ALLOW	O.K.
REBA	Self-titled WB sitcom
APOLLO	Artemis's twin
LYCEE	French school
SALINAS	Steinbeck's birthplace, in California
SONY	Matsushita competitor
BEANERYBABY	Young 'un at a hash house?
ETHEL	Lucy's pal
RHONE	Lake Geneva feeder
YEPS	Uh-huh's
GHOUL	Grave plunderer
HIREE	New staffer
DNA	Forensic ID
TETHER	Restraint cord
SCI	Chem., for one
IMIN	Poker player's declaration
INLOVE	Smitten
VALOR	Heroic trait
NET	E-mail address suffix
NEVA	St. Petersburg's river
ELIS	"Boola Boola" singers
HOPES	Aspirations
STONED	Out of it
EMERYAWARDS	Prizes for manicurists?
ECO	Prefix with tourism
DICED	In big bits
SNIDE	Cutting
ELEVENS	Cricket teams, e.g.
VIEW	Perspective
THEICE	It's broken at mixers
HEIR	Focus of one who's willing?
LYIN	Eagles hit "___ Eyes"
VIRILE	Studly
JOE	Diner cuppa
JOKESTER	Wag
NOEL	Advent song
LST	Mil. amphibian
BOCCI	Lawn ball game
BUENO	Good, in Guadalajara
ASYE	"___ sow, so shall ..."
TONIO	"Pagliacci" role
TSETSE	Scourge of the African savanna
OYVEY	Kvetcher's cry
SPURRED	Incited
PLACED	Took a second?
WHISKERYBOTTLE	Result of a cat hitting the sauce?
HARMED	Impaired
ISAY	Bloke's "Well, well!"
BOFFIN	Tech expert, in British lingo
OTOOLE	Hepburn's "The Lion in Winter" co-star
TEGRIN	Medicated shampoo brand
ADE	Suffix with grape
INS	Aetna's bus.
IMPEL	Drive
NALDI	Silents star Nita
SLAIN	Gotten rid of
ASEED	Thoreau work "Faith in ___"
VOTE	Suspenseful part of "Survivor"
ANEW	Over
EFREM	Violinist Zimbalist
MALLRATS	Some teens just hanging out
LYLE	Cy Young award winner Sparky
DEFOG	Clear, in a way
DROP	Trapdoor
COFFER	Strongbox
EMIL	Pianist Gilels
RANI	Punjabi royal
PLAYMYSTERYFORME	Request to hear a certain audiobook genre?
ERA	Time gone by
MAE	West of "Go West, Young Man"
ROMA	"La Dolce Vita" setting
EDILE	Ancient Roman magistrate
EERO	Finnish painter Järnefelt
ILIAD	Troy story
ERIN	Girl's name (or a hint to this puzzle's theme)
LINED	Like a weather-worn face
RAP	Emulate the Beastie Boys
NENE	Endangered goose
MDLI	Year of Boris Godunov's birth
