BEGUMS	Makes sticky
BACKER	Angel
EROICA	Beethoven's Third
GALLOP	Hurry on horseback
URAL	River through Kazakhstan
MADEANOTEOF	Jotted down
STARMAN	Alien
ESCUDOS	Old Spanish gold
EPEE	Three-sided blade
SADAT	Mubarak's predecessor
CIGNA	Company with the motto "A Business of Caring"
USAIR	Old carrier name
DARE	Have the gumption
ONA	___ roll
SOL	Roman Helios
SAPPHO	Plato dubbed her "the tenth Muse"
SPARK	Catalyst
AONE	Top-notch
PUP	Spot early on?
PROTEAN	Able to change shape
HENBANE	Unwanted plant in farmyards
ODYSSEY	Spacecraft orbiting Mars
ARARAT	Turkey's highest peak
PAISANO	Buddy
POURED	Served the drinks
COLADA	It means "strained" in drink names
EDGARALLANPONY	Author of "The Fall of the Horse of Usher"?
LIETO	Mislead and then some
KILLERBEANIE	Mad cap?
BAIT	Hook worm
IRE	Dudgeon
TBS	"Dinner and a Movie" airer
ECO	Prefix with friendly
AMA	Caring grp.
TAR	Coal byproduct
TREK	Hard slog
TEFLON	Pan coating
RACY	Off-color
BEAS	Arthur and others
BETHEL	Hebrew for "house of God"
RAP	It may be legally beaten
NAIL	Accomplish flawlessly
LEI	Wahine accessory
MEAT	Essential part
MOLTO	Very, to Verdi
DEANE	American representative to France during the Revolutionary War
DRAC	Horror movie figure, informally
CONTEMPTOFCOURTNEY	Love hate?
COSH	British bludgeon
MDXC	Year that Spenser's "The Faerie Queene" was published
PEAL	Set of rings?
TACO	Food item that can be soft or hard
URI	Historic Swiss canton
ROBOT	Iron man?
REWRAP	Prepare to give what you received?
ORIOLE	Brooks Robinson, for 23 years
BATTEN	Secure tightly, with "down"
IDEALLY	If things go well
RAH	Cry with a pompom
ERASERS	What golf pencils lack
RUE	Lament
STETS	Chooses to leave
XACTO	Brand of craft knives
DICESUP	Cubes
DYNES	Units of force
SEANCE	Late wake-up call?
UNSEEN	Seemingly not there
PAPYRI	Ancient manuscripts
WITHOUTACLOONEY	Unable to make "Ocean's Thirteen," maybe?
ASH	Black layer found in Morbier cheese
EAT	Put dishes away
LENA	Actress Olin
ROT	Break down
FEES	Professionals' earnings
ANEW	From scratch
EKE	Stretch (out)
WIDENTHEGAP	Pull ahead yet further
ASP	Exotic means of suicide
ALES	Brewed beverages
SPEEDO	Small suit
THEKARATEKIDNEY	Organ that can perform martial arts moves?
EXITED	Left
KATHY	Actress Bates
ANCE	Ending with sever or suffer
RARA	___ avis
AXEL	It'll turn you around
DULY	In a proper manner
PENPALS	Writing set?
ARMS	Shaw's "___ and the Man"
LAB	Research center
XANAX	Alprazolam, more familiarly
SEDUCER	Femme fatale, often
ERA	Progressive ___
PITCREW	Quick-change artists?
PROW	On-the-water front
WIT	Wildean quality
ELENI	1983 Nicholas Gage book
REMEMBERTHEALIMONY	Ex-wife's refrain?
RITALIN	Drug taken mostly by kids
EPIGONE	Inferior imitator
MOVEOUT	Pack up and go
EJECT	Deplane dramatically
MAIN	Common street name
ORCHIDS	Nero Wolfe's obsession
IPODS	Products with earbuds
JOEY	2004 spinoff show
TART	Lip-puckering
BUS	Long ride?
BENIGN	Not harmful
UNITED	Together
STEERS	They're rounded up in a roundup
TIVO	Recording device
LEWD	Blue
LOUSY	Punk
PRO	All for
PROVO	Utah County seat
ROGET	Big name in reference books
OMNIA	___ vincit amor
ICH	"___ dien," motto of the Prince of Wales
ENT	Specialist M.D.
AGE	Reason to retire
ROC	Monstrous bird of myth
ROTA	Nino who composed the music for "The Godfather"
FROMONHEINIE	How a diaper is removed?
FLAY	Scold severely
OATS	Feedbag's fill
INGE	"Splendor in the Grass" writer
LOOKOUTBOLOGNA	Cry to a lunch sandwich before it's eaten?
KIP	Currency of Laos
BIT	It may come straight from the horse's mouth
OHO	"Now the truth comes out!"
IGNITE	Set off
INUITS	Arctic natives
IHAVEIT	"Eureka!"
DAGGER	"Is this a ___ which I see before me": Macbeth
NETPAY	Salary after deductions
TOYOTAS	Sequoias and Siennas
SPENDS	Whiles away
