IDIDWHAT	Question the morning after
ISOBARS	High and low indicators
DANELAW	Part of England in the time of Alfred the Great
IMAGINE	"___ that!"
DELE	Cut
WHET	Pique
HEAT	Fervor
ARSENIO	Hall with a posse
TEHRAN	Capital that was the scene of 2009 mass demonstrations
SPIGOT	What can be a turnoff?
SOBS	Breaks down
POLK	Annual journalism award, informally
ILIA	Mother of Romulus and Remus
GANGWAR	More than a turf battle
OLDGOLD	Cigarette brand that once used the slogan "Not a cough in a carload"
TASSELS	Part of some strippers' attire
SAMEHERE	"That makes two of us"
OOLALA	"So chic!"
ONALEASH	Under control
BLINDS	Aids to privacy
BEGETTER	Sire
SKAGGS	Ricky ___, frontman for bluegrass's Kentucky Thunder
ALI	Fassbinder film "___: Fear Eats the Soul"
NAS	"Hip Hop Is Dead" rapper
SKI	Kind of boot
WOE	What any of the Four Horsemen symbolizes
RANT	Jeremiad
TAGUP	Touch base
SINKERBALL	It drops on the way home
STOMA	Tiny opening in a leaf
EDAMS	Some cheeses
RCMP	Its uniform includes a red serge tunic and a Stetson: Abbr.
BATIK	Dyeing art
SWEARTO	Avow
REEL	Spinner
IDCARDS	They may have your number
GEO	Auto marque of the 1980s-'90s
AMT	Total: Abbr.
SOSUEME	"See if I care!"
SEMINAL	Formative
OXIDIZE	Get rusty
SODACAN	Pop-top spot
ENO	1970s Bowie collaborator
UMPIRES	Fault finders?
UTOPIAN	Idealist
RAINIER	Volcano in a national park
ENTENTE	Understanding
STODGES	Fuddy-duddies
EXOPLANETS	Far-off discoveries in astronomy
ENORME	It's big in Bordeaux
KANT	"Perpetual Peace" thinker
MID	Prefix with air or field
ONO	Co-producer of "Beautiful Boy (Darling Boy)"
ITO	"... but no more like my father / Than ___ Hercules": Hamlet
IDAHOS	Russets, often
HORN	Crescent moon feature
OLIO	Scramble
SEAN	With 62-Across, subject of "Beautiful Boy (Darling Boy)"
OPTIONED	Secured the rights to
TENS	Till compartment
ISON	"The race ___!"
OLLA	Bit of pottery
NICOLE	Paris's partner on "The Simple Life"
RIESLING	Fragrant white wine
AZARIA	Voice of Moe and Apu on "The Simpsons"
MANOLETE	Legendary Spanish bullfighter
LENNON	See 53-Down
ENSNARES	Ropes in
