SLED	Iditarod vehicle
SWAB	DNA collector, perhaps
LILA	Oscar winner Kedrova
EFFRONTERY	Chutzpah
DIANNE	Wiest of "Radio Days"
LOCHS	Tay and Lomond
LASS	Bonny gal
OSHA	Dept. of Labor division
CYAN	Printer's color
HOWDAH	Elephant rider's seat
SUNNI	Many a Muslim
IMAX	Film format sometimes in 3-D
ISABELLA	Queen in events of 1492
MAUL	Rough up
AXLE	Highway toll unit
XED	Struck (out)
WIFI	Internet cafe offering
ASYOU	With 68-Across, "Carry on"
SAXE	___-Coburg-Gotha (old British royal house)
ALFA	Letter preceding bravo
SHAWN	Wallace ___ of "Manhattan"
AULD	January 1 title word
BARNESANDNOBLE	Company with the stock ticker symbol BKS
EONS	Seemingly forever
ODAY	Jazz singer who took her surname from pig Latin
ONO	Strawberry Fields pilgrimage figure
AIDE	Page, for example
GENENTECH	Company with the stock ticker symbol DNA
GHOST	Pac-Man enemy
EARTH	Image on eco-friendly products
TEST	Try to prove
ETE	Time off from l'école
CHAKA	Grammy winner ___ Khan
ALDER	Tree sacred to the Druids
DOGWHISTLE	Item used with high frequency?
EVIAN	Competitor of Aquafina
RENDS	Rips to pieces
HAT	Panama, for one
SETH	Green of "Radio Days"
MYLOVE	1973 Paul McCartney & Wings hit
MYRA	Vidal's "___ Breckinridge"
OREL	Russian city on the Oka
LIMERICK	Often-bawdy verse
SEALY	Company with the stock ticker symbol ZZ
LAP	Michael Phelps workout unit
AGIN	Feudin' with
STRICT	Unyielding
CELL	Word on a business card
KARO	Syrup brand
OJAI	Ventura County's ___ Valley
WAD	Stash of cash
THYME	Herb with antiseptic properties
PAPAJOHNS	Company with the stock ticker symbol PZZA
PSYCHE	Freudian topic
OLDSAW	"He who hesitates is lost," e.g.
ELKS	Order whose members have included five U.S. presidents
KEATS	Colleague of Byron and Shelley
ALI	Rubina ___ of "Slumdog Millionaire"
HARLEYDAVIDSON	Company with the stock ticker symbol HOG
HOPI	Pueblo language
ALEC	Actor Guinness
DEER	Hinds, e.g.
ALOT	Zillions
VACA	Explorer Cabeza de ___
OYER	___ and terminer
NENE	Endangered state bird
SOLI	Many diva performances
SOW	Barnyard mother
ACELA	Amtrak debut of 11/17/2000
STYE	Ophthalmologist's concern
OPEC	Cartel led by a secretary general
THEOC	Former Fox series set in Newport Beach
ALEN	Art Deco architect William Van ___
WICK	Part of a Zippo
SERTA	Competitor of 39-Across
WERE	See 15-Across
