TEAMEDUP	Got together
TOPHOLE	Superb, in British slang
ENROBED	Not nude
APERIES	Practical jokes
MACS	Jobs offerings
ERIE	City near Fort Presque Isle
DONHO	Singer who co-starred in "Joe's Apartment"
ULCERS	Corrupting influences
PETALED	Like most flowers
GRAMPS	Family member, affectionately
GLENN	Friendship 7 astronaut
RAVE	Enthusiastic write-up
AHAB	Captain for Stubb and Fedallah
MODULAR	In self-contained units
PRELATE	Holy dignitary
SESAMES	Bagel toppers
ONPAROLE	Out of the can
LAHORE	Punjab's capital
PRECINCT	"Barney Miller" set
EVADES	Slips by
HORSEHEADNEBULA	Dark shape near Orion's Belt
DOWEL	Thick pin
OBI	Securer in Japanese dress
ORLON	Pullover material
LAM	Whop
LEERS	Possible sexual harassment
REGAL	August
SLATS	Crib parts
SEW	Hem but not haw
CRATE	Forklift burden
CLARA	Santa ___
RAMEN	Japanese noodle dish
EDSELS	1960's doo-wop group that was a one-hit wonder, with "the"
SIR	Kingly honoree
DECLARES	Makes manifest
COT	Hotel room extra
GAIN	Come out ahead
NAMES	Demand from the House Un-American Activities Committee
LOAM	Topsoil of choice
ALCATRAZ	San Francisco tourist attraction
ATTACHE	Paper holder
LEASHED	Under control, in a way
CARFARE	Transportation cost
ZODIACS	Circular diagrams
TREPID	Trembling with fear
PILEGGI	Nicholas ___, who wrote "Wiseguys"
ITALIAN	Popular cuisine
DAYLONG	Extensive, as a celebration
TEALS	Dabblers
MOM	Delivery person?
MICRON	Minuscule unit
ANITA	Santa ___
TAR	Worker with two-masters
MEDIC	Doc who might become a vet?
MANNA	It's a godsend
CAPRI	Old Mercury
LAY	Place
ASFARASICANTELL	Qualifier for an observation
ARMS	Kind of dealer
ROOS	Little hoppers
NERF	Toy label launched in 1969
TGIF	Letters exchanged by employees?
CHARON	Underworld figure
ARPEGGIO	Concert run?
HERMON	Mount ___, scene of the Transfiguration
CORRIGAN	Aviator Douglas
EDESSA	Early capital of Macedonia
SNIFFING	Cold sound
