MACAWS	Easily tamed birds
MACROS	Computer time-savers
ADHERE	Get pasted, say
CRENNA	"The Real McCoys" co-star of 1950's-60's TV
AORTAL	Coming from the heart?
WIRETAPPER	Expert on bugs
STYRENE	Component of synthetic rubber
APPETITE	Something brought to the table
ADDUP	Compute, so to speak
PRIZEMONEY	Purse
POSITED	Put forth
EPPS	"Alfie" actor, 2004
TIO	Parent's hermano
INSERIES	Sequentially
TOEDANCE	Emulate a ballerina
ENDANGER	Compromise
ADROIT	Canny
DROPINON	Surprise with a call
CHERRY	Manhattan addition
DISPOSED	Prone
RENTER	Letter's need
UZIS	Powerful arms
EDA	Department of Commerce div.
ORNATE	Busy
PET	Fair-haired boy
ORAN	Allied target of November 1942
OHIO	Home to Athens
SEALAND	Royal Air Force station in Flintshire
DRYASABONE	Very, very thirsty
MESHING	Interdigitation, e.g.
SPLASHIEST	Like the greatest show on earth?
PERIODPIECE	Many an antique
IOS	Island on which Homer is reputedly buried
SCRAP	Mix it up
SQUADCAR	Sometime siren sounder
CUMULATE	Heap up
REPRISAL	Counterblow
ASIA	"Prometheus Unbound" character
YON	Robert Burns's "___ Wild Mossy Mountains"
LOSER	Terse putdown
QUESERASERA	Fatalistic sentiment
REMORAS	Marine hangers-on
RECASTS	Gets new players for
UMPIRES	They keep their eyes on the ball
YESDEAR	Gentleman's agreement?
DARNER	Large dragonfly
ERESTU	1974 ballad subtitled "Touch the Wind"
ARREST	Put in a 31-Down, perhaps
ROSSES	Characters in "Macbeth" and "Richard II"
AURA	Feeling
MAT	Site of a routine landing?
TINTS	Window treatments
CHARRO	Sombreroed cowboy
DLI	Year in Justinian I's reign
GOBI	"Crouching Tiger, Hidden Dragon" setting
GILA	Colorado feeder
AIRERS	They put on shows
CASTIRON	Not subject to change
TSE	Canadian market inits.
SENSES	Wits
ATASLANT	Biased
TSETSE	Lion botherer
RELEASES	Cinematic events
STRUTS	Car bars
