NOLESS	To boot
NINJAS	Stealthy fighters
ONEACT	Like Edward Albee's first five plays
LAUPER	1984 Best New Artist Grammy winner
ESTATE	One taken care of by a caretaker
STENOS	Attendees at some biz meetings
SIRENS	Speeders' dreads
SPLASH	Big impression
SQUASHES	Ends abruptly
PUNCHERS	Pugilists ... or stationery store items
LACERATE	Tear
ANILINES	Compounds that smell of rotting fish
STALKED	Didn't just follow around
HALSEY	Vice admiral on the U.S.S. Enterprise
INASTIR	Worked up
RESEEDED	Fixed some greens
QUANTA	Photons, e.g.
NEUTERED	Made unbearable?
DESDE	Since: Sp.
UNCIAL	Writing style of old Latin manuscripts
JAPANESE	Like 1-Down
ACELLS	Rare battery varieties
ACETONES	Options for thinning
SHRIKE	Harsh-sounding bird that immobilizes its prey by impalement
STRESSED	Like part of a foot
HEANEY	1995 Literature Nobelist
DESERTED	Lonely
SAOPEDRO	Glorified gatekeeper, in Goiás
CLARE	Limerick neighbor
CREMATES	Burns up
LAXATIVE	Feen-a-mint was one
ACESOVER	Certain full house, in poker lingo
RESTLESS	Always moving
ASSES	Jerks
TRACEDTO	Had a prior link with
TREMOLO	Mandolin effect
TULIP	White item in a 1944 Matisse painting
TREXES	Some imposing museum displays, briefly
TRAVEL	Job requirement, often
UPPERARM	Place for many a shot
PELOPS	He was served to the Olympians as food
EROTIC	More than suggestive
REVEAL	Leak
ADESTE	Noel opener
RATTER	Certain cat or dog
MTOSSA	It's S. of the Vale of Tempe
REMAST	Outfit for a new voyage, say
LEEREDAT	Ogled
AMATOL	Explosive stuff
IDLOVETO	"Sure thing!"
VOTIVE	Cathedral candle
PROTESTS	Events with marching bands?
ELEVES	People taking les examens
OPIATES	Heroin and the like
LOSERS	Ties don't have them
SCLERA	Eye muscles attach to it
