AJAR	A bit cracked
ASTAR	Constellation's brightest point
JARGON	Lingo
AGORAE	Trading places
RATEDX	Dirty
ILSA	Rick's love in "Casablanca"
INFO	Dope
LOON	Crackpot
STU	Good name for a worrier?
AIRPOPS	Prepares, as snack kernels
TWIG	Nest part
THEREISNOLOCALSERVICE	Why some people travel far to attend church?
WOE	Suffering
INN	Place to stay
GETWISE	Smarten up
ALASKA	Focus of Seward's Folly
ALSO	Besides
LATS	Weightlifters build them, for short
APR	___ financing
SEEHERE	"You listen to me"
KLEENEX	Tissues
ASTRO	N.L. Central player
SAGA	Account receivable?
NOTI	"Don't look at me"
HONE	Perfect
LAPELS	Some people are grabbed by them
TROT	Certain horse race
FOURTEENTHSTREET	Skier Picabo finishing 11 places down from the bronze?
TEST	Feeler
HOGS	Greedy ones
AGREEON	See eye to eye about
ESTRADA	Philippine president deposed in 2001
PER	According to
WOOS	Courts
HER	Part of H.R.H.
ROADS	Travel ways
LOSESBIG	Gets trounced
LOTTE	Lenya of song
SMURF	Foe of the evil Gargamel, in children's entertainment
BERET	Top of the art world?
RENO	Splitting point
RANTO	Totaled
NEXTSTOPTIMESSQUARE	Order to nab a New York newspaper nerd now?
SINCE	Because
TOIL	Labor
QANDA	Audience participation bit
UNION	Coupling
RIOTS	Rebels
SURE	"Why not?!"
ANNEX	Wing
IMEANIT	"This isn't a joke"
ITALIA	Siena's home
MARLON	One of the Jackson 5
ENVY	"Men always hate most what they ___ most": Mencken
INRE	Memo heading
IRIS	See 109-Across
KNIT	Use needles
KEEN	Sharp
STANDCLEAROFTHEDOORS	Critic's pan of a Jim Morrison rock concert?
SLAB	Thick piece
ALE	Sierra Nevada, e.g.
HBO	"It's not TV, it's ___"
ROOMIE	Dormmate
SIRENS	Tempting ones
LARVAE	Ones in need of a metamorphosis
LIL	Wee wee?
BEAN	Gray matter
OIL	Dressing part
LONG	Suit spec
ALLY	Unite formally
GOESOFFON	Rips into
GAEL	Iona College athlete
ORR	Boston retired his number 4
FOIL	Stooge
FEN	Place for reeds
TORO	Bullfight figure
TUMS	Bromo alternative
BIO	Some words on the subject?
SCAR	Indication of previous damage
STEIN	Beck's holder
CHADS	Controversial danglers
COE	College in Cedar Rapids
ACUMEN	Insight
ACTOR	Stage coach user, possibly
COURTTV	Brief shower?
ANOTHERTRAINISCOMING	Promise from a prolific wedding dress designer?
OPRAH	What "O" stands for in publishing
TWIRL	Spin
RIGHT	Correct
ILEFT	"___ My Hat in Haiti" (Fred Astaire song)
SONO	Prefix with -gram
PEAL	Ring
WILL	It details what's left
LOTUSES	Plants of the water lily family
ACRID	Strong and sharp
ATATIME	Simultaneously
CRYONIC	About freezing
FIGS	Often-dried fruit
FELTTIP	Feature of a certain pen
TENOR	Pinkerton, in "Madama Butterfly," e.g.
TEAMSUP	Bands together
TRANSFERHEREFORTHEA	Cry when an Oakland player's iron-on arrived?
FIRS	Some December deliveries
REIN	Keep in check
HEADTO	Move in the direction of
ELLIOT	Richardson of Nixon's cabinet
ALUMNI	College support group
BAYH	Evan of the Senate
BIKED	Went by Raleigh, say
ILLTREAT	"Put your purse away"
TELLY	Bath set?
YESES	Some R.S.V.P.'s
ITO	Skater Midori
PERT	Saucy
PLOD	Trudge
EYRE	Orphan of literature
VIM	Energy
OFVALUE	Worth something
ODES	Lyric poems
FEAT	Exploit
KINDLYSTEPINSIDE	Sign promoting a dance studio's nice moves?
DNA	___ lab
EMU	Lean meat source
PAR	Certain swingers try to make it
IVE	Suffix with excess
DIMS	Darkens
EMINOR	Mendelssohn's Violin Concerto is in it
IMAC	Apple piece
UVEA	48-Down holder
TONE	Pulse alternative
DECADE	Two-and-a-half presidential terms
PURE	24-karat
PEST	Annoyance
OTIS	R & B's ___ Day & the Knights
