TROT	Brisk pace
THORO	Complete, for short
RANUP	Accumulated
OZONE	O3
TENANT	One paying for staying
SAHL	Satirist who wrote jokes for J.F.K.
SOSOON	"Already?"
ALOU	Diamond family name
HAWN	Best Supporting Actress for "Cactus Flower," 1969
LYNDA	Carter who played Wonder Woman
INBAD	Hardly getting along
INNUENDO	Dirty campaign technique
NOSE	Mr. Potato Head piece
BOYZIIMEN	Band whose 1994 song "I'll Make Love to You" was #1 for 14 weeks
ANN	Novelist Packer or Patchett
DEC	Read a New Book Mo.
HAZE	Sight blocker
OLAY	Oil of ___
NOONE	Who opposed George Washington for president in 1792
ONONESOWN	Independent
ERTE	Art Deco designer
NSYNC	Justin Timberlake's former band
RUNAROUNDSUEZ	Do a marathon in Egypt?
SWEAT	Worry about, in slang
OPENTO	Not rejecting out of hand
AWE	Leave open-mouthed
ITA	Señor chaser?
TRITE	Shopworn
ADAZE	Stunned, after "in"
TENOF	Close to the hour
OMAN	Gulf of ___
FARCE	TV's "Fawlty Towers," for one
ENGIRD	Surround
GAG	Squirting flower or dribble glass
SIB	Bro, say
SPASM	Tic
ILLER	More wonderful, to a hip-hopper
BALTICSEA	Part of Poland's border
MACADAMIA	Some kind of a nut
CDEF	Certain scale start
PLAYSHARDTOGETZ	Goes all out at an audition for a sax great?
YAT	China's Sun ___-sen
STEPAWAY	Leave for a bit
HORAS	Rings at Jewish weddings?
ALLATONCE	Suddenly
NEE	Formerly named
SETTER	Irish ___
EFILE	Take care of one's taxes sans paper
IDIDIT	"Hurray for me!"
LOEW	Co-founder of MGM
ENDALL	Ultimate goal
MRI	Inside look, for short?
PAP	Drivel
PSHAW	"Nonsense!"
DONNIE	"___ Brasco" (1997 Pacino/Depp film)
NATES	Rear end, anatomically
IDENT	Birth cert., e.g.
EZRAS	Pound and Stone
CLASSIFIEDADZ	Top-secret carpentry tool?
LEND	Furnish
IOTA	Smidgen
FLOR	"Dona ___ and Her Two Husbands"
RESEW	Mend, as a torn seam
RAH	Bit of cheer?
ERE	"___ the bat hath flown / His cloister'd flight ...": Macbeth
HOLDWATER	Add up
ARENA	It often has a ring in the middle
ATOI	Yours, overseas
LENA	Yakutsk's river
HEADY	Intoxicating
WART	Dermatologist's concern
LSTS	D-Day vessels: Abbr.
