SEWER	Stinky locale to work
SAWIN	Greeted at the door
EMOTE	Overact
WORDS	See 17-Across
ERDE	Our 6-Down, in Germany
RESPOKE	Made another comment
PLACE	Come in second
PLANET	Sun circler
LENDS	Gives for a time
ANTS	Pantry raiders
CII	102, in old Rome
ENCHANT	Cast a spell over
THE	Not just "a"
TODIE	"It is ___ for"
HAIRS	See 22-Across
ERNST	Dadaist Max
AMORE	Dean Martin's "That's ___"
LENIN	He's entombed in Red Square
OAR	Dinghy propeller
WORDS	With 3-Down, popular puzzles
ANTIC	Bit of hijinks
DIN	Clamor
ITDEPENDS	"Maybe, maybe not"
EXAMINES	See 40-Across
HAIRS	With 12-Down, rifle shooter's aid
ANOINTS	Rubs holy oil on
NES	Nintendo's Super ___
OXES	Dumb ___ (oafs)
SANEST	Most rational
SECTIONS	See 32-Across
SKAT	Card game for three
STOMPED	Trampled on
LENO	Lantern-jawed Jay
LEO	The MGM lion
PROTEM	President ___ (acting head)
PRE	Cousin of ante-
REX	Reviewer Reed
ONA	___ roll (winning)
SECTIONS	With 26-Down, some statistical samples
SIS	Bro's sibling
OUI	Arles affirmative
NIM	Takeaway game with matches
STE	Sault ___ Marie
RENO	Janet of the Clinton cabinet
IDIOT	Half-wit
DEY	Susan of "L.A. Law"
NUIT	"Bonne ___" (French send-off)
EXAMINES	With 21-Down, questions in court
IRKSOME	Annoying
INTIME	Eventually
NEEDFUL	Required
PREY	Hunter's quarry
NOES	Turndowns
NOTION	Mental picture
GREEKS	Trojan horse donors
GROPE	Feel blindly
ROADS	See 53-Across
EATAT	Bother incessantly
GONE	No longer around
GENIE	"Three wishes" granter
FOP	Dandy dresser
FIRES	See 59-Across
OVERT	For all to see
PESOS	Cuban moolah
ROADS	With 47-Down, crucial decision point
LETSDRIVE	Gives the car keys
LARS	TV husband of Phyllis
RITA	Pinup Hayworth
OAT	Granola bit
OMANI	Muscat native
MAS	Pas' mates
FIRES	With 50-Down, tough positions for soldiers
PDA	Handheld computer, briefly
MARIO	Novelist Puzo
UTERO	In ___ (unborn)
EST	Founded: Abbr.
ESSEN	Krupp Works city
LASTS	Hangs in there
