MEADOW	Place for bluegrass
MOPE	Be down
EPOS	Narrative writing
ATRA	Razor brand
DIK	Cartoonist Browne
OMELETS	Breakfast menu heading
WARCRY	Brave words?
SMASH	#1 on the charts
SLATER	Mason of a sort
MERV	Griffin who loved game shows
ACC	Virginia is in it: Abbr.
SHEATHE	Cover
HESSIAN	Redcoat's ally
GOODTIME	Blast
GALA	Do for a V.I.P.?
OCA	South American tuber
OCTOPUSES	Creatures with three hearts
DRIPINTRO	Opening remarks at a coffee makers' convention?
TENANT	Paying guest
IDARE	"Do ___?"
MITTS	Baseball catchers
ETE	Time on la Côte d'Azur
OPTIMA	Kia sedan
LECHE	Café con ___
ACCREDIT	Certify
PORKERFARCES	Broad comedies involving hogs?
FDIC	Banking initialism
LATINATE	Like traditional Catholic Masses
ESA	N.H.L.'s Tikkanen
LCDTV	Entertainment center at many a sports bar
ASEA	Where bluejackets go
ETC	"... to name just a few": Abbr.
OPART	Movement that inspired '60s fashion
AERIE	Good viewing spot for a canyon
ATILT	Not straight
ATIT	Bickering
ASIS	Seller's terms
SPINES	Bookcase lineup
SOOT	Symbol of blackness
PRETTYCRASHACCOUNT	Beautifully illustrated report of a computer failure?
PLOT	Coup start
RENO	Clinton's attorney general
EWER	Pitcher
ALEG	Give ___ up
CCS	Also addresses, as with an e-mail
LEWIS	Clark's partner
LIEN	It's put on some houses
COST	"It'll ___ you"
SAS	Stockholm-bound carrier
SITAR	Long-necked instrument
ADOPT	Opposite of reject
SSNS	Payroll dept. ID's
ONEL	First-year J.D. student
OGLES	Makes eyes at
OBOE	Light wind?
GRAIL	Sacred cup
LAHTI	Christine of "Running on Empty"
ASTEROIDS	All-time top-selling Atari video game
ABBE	French cleric
OFNO	___ consequence
TORTEBRAG	Cake maker's boast?
ENV	Check holder: Abbr.
COB	Short-legged, thick-set horse
CABLE	Monthly charge
OARS	Couple in a rowboat
SOFTON	Not badgering, say
NOAH	Flood survivor
BAABAA	Nursery rhyme call sung to an old French melody
BYES	Tournament passes
ASTRO	___ Boy, classic figure in Japanese anime
ATHOS	One of Dumas's Musketeers
NAPS	Short breaks
IGAVEITMYBRESTSHORT	French director's comment about his submission to a film festival?
INTEL	"___ Inside" (slogan)
GUCCI	Louis Vuitton competitor
ATAT	Rat-___
MBAS	Some Wharton alums
SAWS	Tooth holders
HIC	Hawaiian Punch rival
TNUT	Wide-headed fastener
TAPE	Sticky stuff
LIBELS	Smears
THAI	Ang Thong resident
ATCAMP	How some kids spend the summer
MORONPIER	Where a dope unloads a ship ?
PROMISEME	Words on a deathbed, maybe
ASE	"Peer Gynt" mother
CROWCHIRP	Bird call on a farm?
CLEF	Bass ___
HOHOS	Popular snack cakes
ITEM	Talked-about twosome
ROLE	Part
PEAR	Tree in bloom in a Van Gogh painting
PECTORALS	They're developed by a muscleman
ABES	Five-dollar bills, slangily
LTR	Photocopier option: Abbr.
GLOSS	Lip cover
GUYS	Fraternity members
OTOE	Nebraska county with an Indian name
ELI	Super Bowl XLII M.V.P. Manning
ROBT	Gen. Lee, in brief
TRUE	Loyal
TWELFTH	Highest grade
RANFREE	Was not cooped up
CHELA	Lobster claw
CHERISH	Love
HOMERAWAYFROMHOMER	A Simpson without access to his volume of the "Odyssey"?
HAMLET	Whence the line "To sleep: perchance to dream"
ATE	Stopped fasting
RANTED	Vented
OLAF	Minnesota's St. ___ College
MOIRES	Fabrics that shimmer
ALANIS	Rocker Morissette
AROSE	Stood
LOTTA	Led Zeppelin's "Whole ___ Love"
TENS	Till compartment
ALOES	Succulents that soothe
ROMPS	Easy wins
SELF	Starter starter?
STDS	Norms: Abbr.
ONAIR	Sign that's often lit
OSSO	___ buco
CUT	Film editor's job
CHAP	Bloke
UTNE	___ Reader
TSAR	Bygone autocrat
MOTLIEST	Most heterogeneous
MET	Touched
SEE	"Didn't I tell you?"
FRISTFRIGHTS	Former Tennessee senator's Halloween costumes?
IRR	Clearance rack abbr.
GPA	Valedictorian's pride, for short
ESTEEMED	Prestigious
TERSE	Curt
ESPANA	Name on some euros
TEATREES	Sources of a cosmetics oil
HEROD	King in 1 B.C.
SHAPER	Body-sculpting undergarment
