REIN	Check
RABE	"Streamers" playwright David
ERAT	Part of Q.E.D.
ITSA	Frank Capra's "___ Wonderful Life"
NYE	Bill ___, the Science Guy
SATE	Fill to excess
SEALIN	Protect, as freshness
AXLE	Bridge toll unit
TILE	Floor unit
ELI	Actor Wallach
RUBE	Country bumpkin
RAISIN	Kind of bread
ULEE	1997 Peter Fonda title role
BALT	Latvian, e.g.
ENDS	Volumes A and Z in an encyclopedia
ARTY	Pretentious
EXILE	Deposed leader's fate, maybe
ENCASES	Boxes
ALAN	Chester Arthur's middle name
BASEBALLINFIELD	DIAMOND
BACON	Part of a hearty breakfast
FORUM	Discussion medium
ETA	Airport info, informally
ALEE	On the safe side, at sea
COSETS	Math groups
ICI	Here, to Henri
ISEE	"Mm-hmm!"
SARI	Calcutta clothing
SORTOF	Somewhat
PERSONWHOSUNHIP	SQUARE
PATHO	Prefix with logical
ELIHU	Peace Nobelist Root
RIGHT	"Oh, sure"
WHITEY	Yankee Hall-of-Famer Ford
HASTO	Must
HAGUE	International court site, with "The"
IRATE	Plenty sore
PANEL	Jury
ALIEN	Klingon or Vulcan
HAREM	Women's group?
ARA	Coach Parseghian
TIGE	Buster Brown's dog
GISTS	Central points
GODLESS	Atheistic
EGAN	First governor of Alaska
ECHO	Return to the Alps?
HHH	Loser to R.M.N. in '68
LOTTO	Numbers game
LILLE	French textile city
ACUTE	Sharp
AWOKE	Came to
OUTSIDEOFAWHEEL	CIRCLE
SASHAY	Square dance move
ALOMAR	Baseball's Roberto
ALLY	One who's on your side
LOO	London lav
HASSLE	Bother
HOAR	Frost
ARGO	Jason's ship
SCUM	Refuse
AMOK	In a frenzy
ARNE	"Rule, Britannia" composer
MATE	"G'day" recipient
ACT	Take a part
ABBA	Palindromic pop group
CELL	It makes a bit of a stir
TREK	Hard journey
ORCHESTRAMEMBER	TRIANGLE
TAJ	___ Mahal
MAW	Stomach
AGUA	Lago contents
SANTA	Seasonal visitor
ABLE	Efficient
ROMY	Actress Schneider
JEER	Hoot
WALK	Not a hit or an out
