ACME	#1 position
ATBATS	Baseball statistics
CRITIC	"Everyone's a ___"
MANANA	Procrastinator's response
EMO	Rock music subcategory
ASPER	According to
ADUE	Together, on musical scores
SOLIDS	Sphere and cube
PLANE	Smoothing tool
EER	Suffix with election
RDS	Things with shoulders: Abbr.
SSNS	I.R.S. figures: Abbr.
SOBIG	Edna Ferber novel
STAGEMOM	Young starlet's promoter, maybe
NOMINATE	Propose for election
SEATTLE	Where Starbucks was founded
TRAM	Coal cart
DOLED	Handed (out)
OTOE	First Indian tribe met by Lewis and Clark
BINOCULARS	Bird watcher's accessory
CREASE	Ironing line
BAMA	The Crimson Tide, familiarly
ATA	Week-___-glance calendar
REIN	What a coach driver holds
DIGIT	2, for one
DRE	Rap's Dr. ___
TINGE	Trace of color
GRAMS	There are about 28.35 of these in an ounce
DETERGENT	Tide or Cheer
TECH	Georgia ___
ESTEEM	High regard
SCARABS	Beetles sacred to ancient Egyptians
BIOLAB	Place for a petri dish
ESE	Language suffix
MAL	Prefix with content
ASI	"___ recall ..."
ACT	One of five in "Julius Caesar"
ATM	Sign at a convenience store
COTE	___ d'Ivoire (African land)
CAUSE	Save the Whales, for one
NAMEOFTHEGAME	Essential part necessary for fulfilling a goal ... or what 17-, 25-, 48- and 57-Across all have?
NOSEDIVE	Plummet
ATTAINED	Got
FAZE	Disconcert
GAUGED	Measured
BOTS	Droids
BAHAMEN	"Who Let the Dogs Out" group
LAM	Flee
EAU	___ de Cologne
AST	Winter hrs. in Bermuda
PAZ	Peace, in Peru
PTS	Score components: Abbr.
SMUSHES	Compresses, informally
STASIS	Equilibrium
HELLNO	"Absolutely not!"
ESALEN	___ Institute, California retreat center for alternative education
SEDATE	Tranquilize
HEARTBEAT	Symbol of life
ROILS	Stirs
AREAS	Neighborhoods
GEESE	Ones in a gaggle
ADIOS	"So long"
RAZE	Demolish
ZANY	Wacky
LAD	Young fellow
MINI	Certain iPod or skirt
QUESADILLA	Cheesy Mexican snack
QBS	Ones making handoffs, for short
URI	Geller with supposed psychic powers
IAN	McEwan or McKellen
EVEL	Knievel on a motorcycle
BRAIN	Smarty
ANET	Working without ___
NEDS	Actor Beatty and others
SISSY	Wuss
NONE	What a jack-of-all-trades is master of, supposedly
