DEVO	Quirky 70's-80's band
DEFT	Skilled
ELOI	"The Time Machine" people
VERA	Designer Wang
OVERWEIGH	Oppress
CHE	"Evita" role
COO	Bill's partner
HUNCH	Funny feeling
EIEIO	Children's song refrain
ASSURE	Give confidence to
AST	Halifax clock setting: Abbr.
STOPAT	Pull into
SARAH	Fergie, formally
UTERO	In ___ (unborn)
REALM	Empire
ESTEE	Cosmetician Lauder
ELEV	Mountain stat.
OUI	Agreement abroad
STATES	See 62-Across
FOREGONE	Previous
GAINON	Begin to catch up with
TOREAT	Attacked violently
TIARA	Bejeweled adornment
CIA	Bush Sr. headed it
AUTEUR	Filmmaker with total creative control
PARLE	"Ici on ___ français"
WITHOUTAHOME	Like a street urchin
TAW	Spotted, to Tweety
TIS	"Angela's Ashes" follow-up
SHEENA	Jungle queen of 50's TV
SRAS	Sp. ladies
HALE	In good health
EDIT	Get to work on Time?
TIT	Retaliation, in part?
RADIOWAVES	They're affected by the ionosphere
ADVERB	Modifying word
VIE	Go for the gold
NINA	Totenberg of NPR
NINOTCHKA	1939 Garbo role
INTL	Worldwide: Abbr.
NEHI	Beverage brand
ASSN	Org.
ALIGN	True up
DIU	Island off India's coast
CINES	Theaters
CORNEA	Eye bank donation
SETH	Father of Enos
OVERMONTHS	Spread out, timewise
OOO	Scoreboard line under RHE, maybe
MBA	George W. deg.
JOE	Cup at a grease joint
JERKED	Sun-dried, as beef
BROLIN	James of "Marcus Welby, M.D."
LARGEORGIANT	Movie house popcorn choice
LOCHS	Ness et al.
ATRIP	Ready, as a sail
RHODE	___ Island red
GEODE	Hollow rock
GIDDY	Lightheaded
IDIOT	No-brainer?
OTHER	Tryon novel, with "The"
BID	You might need a paddle to do this
ECLAT	Brilliance
LOON	Nutcase
ARON	The King's middle name
TAKE	Profits
CROOKS	Stingers?
SNO	___-Cone
DIDAHORA	Went around in circles?
DAD	Pops
HIDDEN	With 16-Across, the theme of this puzzle
DOA	Too late for the E.R.
KOOK	Oddball
SPEEDO	Big name in swimwear
YTD	Pay stub abbr.
ANNE	Frank or Francis
