YIPS	Pups' complaints
YOGI	Hanna-Barbera bear
INUSE	Occupied
PEALE	"Positive thinking" exponent
SOCAL	Setting for "The O.C.," for short
ABC	*Jackson 5, 1970
ALMA	Longest book of the Book of Mormon
BOOBOOS	Faux pas
CCLAMP	Workshop device
CRUMB	Soupçon
CYCLE	Bike
REEXAMINE	Check over
UNDIVIDED	United
MTEVEREST	Subject of the 1997 best seller "Into Thin Air"
BAD	*Michael Jackson, 1987
ONEOCLOCK	Time it is when daylight saving time ends
CAMS	Wheels inside a car
KEDGES	Small anchors
YENTA	Dirt accumulator?
GUACAMOLE	Salsa partner?
CEDED	Gave up
ISLAMABAD	Capital whose name is Urdu for "place of peace"
LXIV	Year of the Great Fire of Rome
EELS	Unagi sources
OMG	*Usher feat. will.i.am, 2010
EAVE	Gutter site
NOPES	Informal denials
NASAL	Like the first of May or the end of June?
SOHOT	"Smoking!"
MIRO	"Harlequin's Carnival," for one
ORTO	"For here ___ go?"
TIMEWAS	Nostalgist's opening words
TADS	Kids
IRENECARA	"Fame" actress
MOBILEBAY	1864 battle site that was the source of the quote "Damn the torpedoes! Full speed ahead!"
EMOTICONS	They often begin with colons
WAR	*Edwin Starr, 1970
SOLIDER	More substantial
LOW	*Flo Rida feat. T-Pain, 2008
AROMAS	Bouquets
HONEST	"I swear!"
DEBORAH	Book of Judges judge
HUBCAP	Outer covering for some nuts
BOWEDTO	Greeted deferentially
BENEATH	Unworthy of
SNIT	Foul mood
LUMET	"Network" director
MELLOW	Tone down
ELIS	Taft and Bush, collegiately
SETTO	Brawl
BEN	*Michael Jackson, 1972
SHAG	Catch, as flies
SPAN	Stretch over
HASTO	Can't not
ATTIC	Lofty story
GREAT	Word repeated before some relatives' names
CECE	Gospel singer Winans
CLEOPATRA	Earliest million-dollar movie role
OBEY	Succumb to mind control
ARLO	Janis's comic-strip husband
SABOT	Wooden-soled shoe
SOS	*Rihanna, 2006
ALABASTER	Gypsum variety used in carvings
ORANT	Worshiping figure
POTENTIAL	What a talent scout looks for
SAYSO	Authority
WHY	*Frankie Avalon, 1959
OCTO	Numerical prefix
