SALESRESISTANCE	Problem in closing?
STAY	Supporting piece
AHME	World-weary words
LEES	Refuse
EER	Poet's ending with what or how
SLICERS	They might be full of baloney
RECON	Brief scouting outing?
EVAN	___ and Jaron (identical-twins pop duo)
SENT	Posted
INDO	Prefix with Germanic
STRUM	Not be picky with an instrument?
THEROBE	First film in CinemaScope, 1953
AHA	Word associated with a light bulb
NOME	It's on Norton Sound
CUED	Given a line
ERRS	Goes off
THEELEVENTHHOUR	Just before it's too late
AMERICANDREAMER	1984 JoBeth Williams comedy/adventure film
YES	Ouija option
CONTOUR	Bucket seat feature
EDS	Seventeen people, briefly
HEN	One whose deposits are often collected
HERRING	Whitebait, e.g.
MOB	Hit-making group?
BARRELS	Rodeo trio
LOPER	Gazelle, at times
LAPIS	Stone, to Caesar
OVINE	Like a shepherd's charges
PEEVE	Really get to
GAS	Beetle's need
GOUDA	City NE of Rotterdam
ANNAN	Ban succeeded him in 2007
STRUT	Supporting piece
BASED	Grounded
SAUNA	Luxury hotel amenity
EPICS	Big pictures
DYNES	___ per centimeter (surface tension measure)
AVERSIONTHERAPY	One way to kick a bad habit
IME	George Harrison's "___ Mine"
HOD	V-shaped carrier
PIER	It's a shore thing
MUNRO	Alice who wrote the short-story collection "Open Secrets"
RUIN	Utter collapse
INVITEDAUDIENCE	Preview crowd
TOUGHIE	Real poser
ICEDTEA	Brewer's product
SEENO	"... ye shall ___ more vanity": Ezekiel 13:23
ANT	Social group member
CLASS	Social group
GUT	Instinctive
TREES	They have certain rings to them
WES	1980s N.B.A. guard Matthews
WEAVE	Zigzag
ABS	They look better when they're ripped
AWAR	Start ___ (be extremely aggressive)
BEDE	Eliot hero
SALA	A room with una vista?
GREASED	Like some cookie sheets
ERST	Formerly archaic?
ASTA	Fictional wirehair
STET	Decide to leave
JAI	I have, in Le Havre
JOSE	Cuban patriot Martí
ANON	Like some sources: Abbr.
ISNT	Abba's "Love ___ Easy"
WEATHERSTATIONS	Pressure points?
TAL	Jazz guitarist Farlow
ING	Like Mahler's Symphony No. 4
ADLAIESTEVENSON	Who said "A hungry man is not a free man"
REALESTATEAGENT	One who'd like to put you in your place
