AWARDS	Trophies and such
APR	Mo. before May
WOO	Court
ATA	___ disadvantage (handicapped)
RIDER	Equestrian
DOWN	Sad
SNATCH	Grab
COMP	Give at no charge, as a hotel room
CORRIDA	Bullfight
OBI	Kimono sash
MOOT	Not worth debating
PERE	French father
CCS	Hypodermic units, for short
CAMERA	Kodak, e.g.
CRETIN	Lowlife
SENSED	Felt
POTION	Magical drink
OBOE	Cousin of a bassoon
ARE	"Roses ___ red …"
ROADWARRIOR	1981 Mel Gibson film, with "The"
REDO	Make a change in the decor
MEN	Fellows
ENTER	Go in
TENETS	Basic beliefs
NELSON	"Full" or "half" wrestling hold
USSR	Gorbachev was its last leader: Abbr.
UMPS	Diamond V.I.P.'s
SARI	Delhi dress
SLID	Moved on ice
CDIV	404 in old Rome
VETS	Dog docs
ERIE	Niagara source
MAL	___ de mer
RHODEISLAND	The Ocean State
RACED	Zoomed
ION	Charged particle
SMOKE	Cig
PRIMA	___ donna
MERELY	Just
ATOMS	They split when they're smashed
SIDECAR	Motorcycle attachment
ANA	Commercial suffix with Tropic
REST	Remainder
SNOOKER	English pool game
KATE	Smith who sang "God Bless America"
EVEN	Not odd
RENT	Landlord's due
RENEW	Sign up for more issues
WHITENS	Bleaches
KNAVE	Scoundrel
ROWEDASHORE	Arrived like Michael in an old song?
ROTTED	Went bad
ORANGE	Juice source
WANTON	Malicious
ONES	Change for a five
RASHES	Epidermal eruptions
TEN	Decimal base
ORAL	Spoken
TINA	Singer Turner
CENT	Penny
CATTY	Feline
TANYAS	Actress Roberts and others
ARCH	Part of McDonald's logo
SOYA	Bean type
TESLA	Electrical pioneer
LOST	Disoriented
TNT	Explosive initials
RODESHOTGUN	Had the passenger seat
DAM	Hoover ___
GAL	Lass
UTE	Western tribe
NED	Actor Beatty
EGO	Winning 1-Across can make this grow
CYAN	Blue-green
ESTATE	Fancy home
DEN	Room with an easy chair
HAMS	Master thespians they're not
STYLED	Like a professional haircut
