UKES	Luau instruments, for short
USER	Addict
KEMO	___ sabe
EXIT	Turnpike toll-paying locale
SYRACUSE	Big Orange of college sports
EMME	Noted plus-size model
ENZYMES	Pepsin and rennin, for two
MEADE	Gettysburg victor
MAGI	Yule trio
ELSA	Adamson's lioness
COMFY	Nice to wear
CAD	Crude dude
ODESSA	Ukrainian port
MOLTENLAVA	Fuji flow
FRIES	Part of a Happy Meal
YEATS	"The Second Coming" poet
SEXY	Like Playboy models
NEAL	"Hud" Oscar winner Patricia
ADORE	Be nuts about
EMIR	Qatari V.I.P.
ZAGS	Turns abruptly
DELIA	Novelist Ephron
ROTARYDIAL	Old telephone feature
RUN	Seek a seat
LAME	Poor, as excuses go
STET	Proofreader's mark
CUME	G.P.A., slangily
ASSESS	Put a value on
SORT	Put into slots
INJUNE	When summer starts
ISNT	"___ that special?!"
NEAR	Within earshot
JAMESIVORY	"Howards End" director
BEMOAN	Cry over
BEGUN	Kicked off
EWER	Fancy pitcher
SEAS	Geographical septet
SKEWER	Kabob holder
KATO	Green Hornet's sidekick
LIP	Pitcher part
IDOL	Hit Fox show, in headlines
PEWS	Mass seating
NAMES	See 41-Across
SALE	Mall attraction
AGE	Historic time
TRADE	With 38-Across, what the four key parts of this puzzle are
RAPSTARS	Eminem and Dr. Dre, for two
TRE	Uno + due
ARTURO	Conductor Toscanini
ROAM	Gad about
OAKLAND	Bay Area city
AVOW	State openly
SALOON	Brawl site in a western
AMENDS	Makes right
APPALS	Horrifies
PIE	Pizza order
CRIMEA	Yalta's peninsula
CROFT	Video game heroine Lara ___
RAZOR	Stubble remover
SKIS	Stowe equipment
SCROD	New England catch
RAVE	Hearty party
MUSCLETONE	Gymgoer's goal
UNIT	Complex dwelling
SOSO	"Eh"
OREO	Black-and-white treat
NCAA	Final Four org.
EARP	Tombstone lawman
OZONE	Earth's ___ layer
EST	Ballpark fig.
NORA	19-Across's sister
ARCA	Medieval chest
FORDS	Wades across, say
ISON	"The heat ___!"
REAR	Bring up
TRYST	Rendezvous
TODD	Rock's Rundgren
SOAP	The end of each of 20- and 56-Across and 11- and 29-Down is a popular one
