ASS	Obstinate type
ALBUM	Contents of a sleeve
SEEME	Request for face time
STAAN	David Bowie single with the lyric "If we can sparkle he may land tonight"
MOOG	Electronic music pioneer Robert
MARSHES	Reed sites
OAK	Flavor associated with Chardonnay
OREO	Treat in a blue wrapper
GETSALLAS	Contends for valedictorian, say
ADDTO	Boost
ANTIHERO	See 9-Down
DEAN	James known for playing an 8-Down
DOTELL	"Let's hear it!"
TNT	It does a bang-up job
OSLIN	Singer K. T. ___
BOATER	Straw hat
BUTCH	Relative of Rover
ONAROLL	Doing really well
ALLE	Assert without proof
TARA	Butler's place
ESAS	Those, to Tomás
RHYE	"Seven Seas of ___" (early Queen hit)
LET	Cry after poor service?
AARE	River with the Reichenbach Falls
NEONS	Some commercial signs
UNLASH	Remove ropes from
BEAARKET	Bad news on Wall Street
ASTR	Galaxy sci.
TATTLETALRAY	What Fels-Naptha banished, in old ads
END	Squelch
UMASS	Where N.B.A. coach Rick Pitino played college ball
OSCINE	Relating to songbirds
CHAED	"___, I'm sure"
INCREASE	Boost
MENTHE	French ice cream flavorer
EGESTS	Disgorges
AHH	"So nice!"
LANDHO	Excited call to a crew
ASGOODAS	About equal to
REGULAEALS	Three squares
ULEES	"___ Gold"
ASO	Kyushu volcano
LEICA	Classic camera maker
EATA	"Do I dare to ___ peach?"
INOZ	"Rinkitink ___" (L. Frank Baum book)
CERE	Smear with wax, old-style
ATAD	Slightly
FRA	How to address a brother
FLASK	Hooch holder at a ballgame
RECON	Intel mission
AIOLI	Provençal sauce
SELLERS	Large group in a 23-Across
GASPLANET	Heavenly body that humans will never set foot on
ATURN	Take ___ for the worse
SOBA	Japanese noodle
PHLM	Throat stuff
LEIA	Alderaan royal
ALAS	Frightens
SEADOO	Jet boat brand
OTOH	Alternatively, in Internet lingo
TORA	When said three times, a W.W. II cry
ACOLYTES	Followers
YAHOO	Swiftian brute
DOUBLLAZED	Like some doughnuts and windows
DORK	Unhip sort
LAMBS	Farm newborns
SOLAASS	Unit of star measurement
MONODRAMA	Beckett's "Krapp's Last Tape," e.g.
MALLARME	"L'Après-midi d'un faune" poet Stéphane ___
OTIS	Lift innovator
NBC	"ER" network
KNISH	Deli nosh
OATBRAN	High-fiber, low-fat cereal ingredient
OSAGE	___ orange
MBEKI	Mandela's presidential successor
BBLS	Crude qty.
ELIES	Mournful songs
KUNTA	___ Kinte of "Roots"
IMEAN	"Um ... well ... it's like ..."
OILSLICKS	Hazards for marine life
IRMA	"___ la Douce"
LIES	Fabrications
BUBBLUM	Blow it
BALOO	He taught Mowgli the law of the jungle
USESUP	Depletes
WAEMORIALS	Arc de Triomphe and Nelson's Column
WHIT	Slightest amount
AANI	Emporio ___
ELKE	Actress Sommer
MEET	Sports competition
PASSLINE	Bet in craps
PRORATING	Dividing fairly, say
HALE	Strong
MEGA	Part of MHz
SEARLE	Company that introduced NutraSweet
SUD	South of France
ENDORSER	Check person
ALLRA	Brand for hay fever sufferers
SETA	Botanical bristle
INKERASER	Tough rubber?
ROLONDA	Watts who hosted a 1990s talk show
UNLOOSE	Relax
ENROOTS	Implants
SAN	Angelo or Antonio
TIETO	Connect with
MIDDLROUND	Neutral space
INSTIR	Behind bars
DIPS	Quick swims
LESSEN	Diminish
ERDOS	Mathematician Paul
SMA	Smugness
SAONE	It joins the Rhône at Lyon
ORA	Mezzanotte is one
PRINTS	Crime scene evidence
NESTS	Places for some newborns
TRIAL	"Perry Mason" scene
SAPPY	Tear-jerking
PROFORMA	Merely routine
PCBS	Chem. pollutants
RARE	In short supply
OLAN	Pearl Buck heroine
FENN	George Manville ___, English adventure writer
STRATA	Levels
THRO	"Comin' ___ the Rye"
ADEE	Chick's tail?
OPERA	Works in the music business
CALENDAONTHS	April, May and June
NOR	Neither's partner
IDLOSSIP	Blah-blah-blah
LAL	Permitted
BRANDO	Subject of the 2008 biography "Somebody"
NOIRE	Bête ___
NEAT	"Super!"
TAP	Object of many a court order
SENNAS	Some flowering shrubs
ERROR	Overthrow, e.g.
GELS	Hair goops
SLY	Like a three-card monte player
