SIM	___City (computer game)
STIGMA	Hester Prynne's "A," e.g.
INCROWD	Clique
MTSINAI	Name of many hospitals and cemeteries
NASA	Columbia org.
NEGS	Darkroom production, for short
APRONS	They come with strings attached
SPIKE	Lace
ASLAN	Lion of Narnia
POBOYS	N'awlins sandwiches
PTA	Org. that usually has a fall start-up meeting
OHTO	"___ be in England": Browning
BEEN	Lived
ONATEAR	Carousing
YESORNO	"Don't evade the question!"
STEPSON	Hamlet, to Claudius
TNT	Cable channel
EPPS	Actor Omar of "House"
THENET	Surfing site
ICS	Suffix with robot
GRILLATEASE	Barbecue comfortably?
LYE	A corrosive
GRITSOKAY	"Are your Southern breakfast vittles satisfactory?"
TYINGUP	Snarling
ONTOP	Victorious
MONY	When doubled, a #3 hit of 1968 or a #1 hit of 1987
NENE	Nonmigratory goose
ERS	Some TV drama settings
AWAITS	Anticipates
TARTE	Pâtisserie offering
GITANO	Jeans brand
GNU	Animal with a silent head?
IDIOT	Numbskull
TITANIC	It went down in history
DINA	Actress Merrill
GRANDIRON	Marvelous golf club?
GPA	3.0, e.g.
REW	Opposite of FF
ASS	Numbskull
GRAPESUIT	Purple outfit?
ALD	Municipal pol.
GROUTLAWS	Rules regarding tile setting?
GRANGER	19th-century farmer
ROSARIO	Karen's maid on "Will & Grace"
OMELETS	Egg foo yung dishes, basically
OATS	Wild ___
TITRATE	Measure the strength of, in a way
SCHOLAR	Book burrower
ROMPED	Won handily
STNICK	"Little" title figure in a Beach Boys hit
SEAEEL	Sushi offering
KEWPIE	Kind of doll
ASE	Enzyme suffix
MALE	Stag
MGR	Restaurant V.I.P.: Abbr.
ARIAS	Met expectations?
LEDGE	Shelf
ITHE	"___ Jury"
NALDI	Silents star Nita
DAHS	Morse bits
ISEE	"Gotcha"
GREATCROW	Big black bird?
TREF	Not kosher
GREASYRIDER	Passenger gorging on fried chicken and potato chips?
YRS	Sentence units: Abbr.
ALP	Grossglockner, for one
EITHER	"Take your pick"
AGEE	Pulitzer winner James
TAI	___ chi
ROSSES	Family of George's fiancée on "Seinfeld"
SELF	Narcissist's love
ERE	Preposition before now
