PALL	Dark cloud
PLATE	Home ___
AERIE	Eagle's home
LOAMY	Like some good soil
LIMBO	Dance at a bar?
TARA	Twelve Oaks neighbor
TURKEY	Holiday roast
ASET	Playing ___ (court activity)
REQUIEM	Mass for the dead
ADDTO	Beef up
RABIN	1994 Nobel Peace Prize sharer
RENTACAR	Airport convenience
ALOU	Baseball family name
BUD	Popular brew, for short
IDO	Swearing-in words
NEZ	___ Percé
LEOI	Pope from 440 to 461
USED	Drew on
ELUDE	Get past
ARAM	Composer Khachaturian
REQD	Not opt.
NODOZ	It'll keep you up
TIMBUKTUTUTU	Mali dancewear?
URL	www address
UTAHN	Orem native
EEYORE	Pal of Roo
IOTA	Itty bit
OCT	Boss's Day mo.
OFAGE	Grown-up
COHEN	Comic Myron
TRADE	Disgruntled player's demand
LYME	East ___, Conn.
MOTO	Mr. of mysteries
ACTFOR	Represent
THAN	Comparison word
HATH	Biblical verb
HITIT	Jazz cat's command
ANODE	"+" pole
TSKED	Reprimanded gently
HIYA	"Hey there!"
OMAHAHAHA	Response to a Nebraskan's gag?
AEON	Boundless time
INSIGHT	On the horizon, maybe
GOLGOTHA	Hill where Jesus was crucified
HYSON	Green tea type
ENRAGED	Really steamed
TOKYOYOYO	Japanese plaything?
YELLOWS	Shows age, in a way
NENE	Hawaii's state bird
IDEALS	What 10's represent
ENDS	Loaf parts
DELANO	Presidential middle name
SMU	Mustangs' sch.
TED	Rock's Nugent
GOAL	One-third of a hat trick
AORTA	Trunk artery
EMAJOR	Key with four sharps
ALAMO	9-Down company
JUROR	"12 Angry Men" role
OLIVE	Antipasto morsel
RULES	Hoyle's listings
HONOLULULULU	Hawaiian doozy?
HUTS	Primitive homes
UNIT	Condo, e.g.
SHOUT	Raise the roof
SEX	V-chip target
HAH	"Oh, sure!"
ORO	Conquistador's prize
RONA	Novelist Jaffe
ARIL	Seed coat
EARTH	Third of nine
TWIN	Jenna or Barbara Bush
MOVE	Relocate
XHOSA	Mandela's native tongue
ASTO	"Now, about …"
ORES	Tram loads
