TOMBS	The pyramids, for pharaohs
TAVI	Rikki-Tikki-___
OMAN	Neighbor of Yemen
MOCK	Make fun of
BRAN	Kellogg's Raisin ___
SYNONYM	Roget's listing
PSST	"Hey ... over here!"
PHASER	"Star Trek" weapon
SOP	Soak (up)
SWAG	Booty
TERR	Ariz., e.g., before 1912
JIM	PBS newsman Lehrer
JOEPISCOPO	Portrayer of Frank Sinatra on "Saturday Night Live"
INNIE	Concave belly button
METED	Rationed (out)
AMORY	"The Cat and the Curmudgeon" author Cleveland ___
HOWE	Inventor Elias
AONE	Absolutely the best
AMULE	Stubborn as ___
VACANTAPARTMENT	Place not generating rent
TTOP	Feature of many a sports car
TOPSY	___-turvy
INKNOTS	Feeling tied up, as a stomach
GROUPIE	Rock band follower
NOEL	"The first ___, the angel did say ..."
LOWDOWN	Scuttlebutt
PLIED	Worked at, as a trade
EMPTYPROMISES	Guarantees that mean nothing
ERGO	Therefore
MEAT	Vegetarians avoid it
PATCHADAMS	1998 Robin Williams title role
TIE	Common Father's Day gift
MAD	Off one's rocker
IVY	Climbing vine
REAIM	Point again, as a gun
WAVY	Crimped, as hair
CSI	Hit CBS drama with two spinoffs
SAUR	Suffix with dino-
ISPY	1960s Bill Cosby TV series
GATE	Formal entrance
GIDDY	Euphoric
GIL	Baseball great Hodges
IDO	Words before "You may kiss the bride"
GOAS	Pretend to be, as at a Halloween party
GMT	London hrs.
OTC	Without a prescription: Abbr.
FIDO	Pal for Spot or Rover
FLOCK	Group watched by Little Bo Peep
AMPUP	Increase
ACEHIGH	A pair of deuces beats it
HOLLOWVICTORY	Win that brings little actual gain
OMENS	Black cats and broken mirrors, by tradition
VORTEX	Whirlpool or tornado
ITER	Anatomical passage
ALAMO	Avis competitor
ASBAD	Equally awful
LILLY	Eli ___ and Company
NOTE	Post-it, e.g.
SIDECAR	Brandy cocktail
ACOG	Slip ___ (blunder)
RAKE	Clean up leaves, e.g.
REHEATS	Warms up again
EDIE	Actress McClurg
AGAR	Food thickener
TEND	Care for, with "to"
SSTS	Fleet that was permanently retired in 2003
BLANKCARTRIDGES	Contents of guns used in training exercises
RIN	___ Tin Tin
ALMS	Offerings to the poor
OKIE	Dust Bowl migrant
GIANT	New York footballer
DYS	Bad: Prefix
GENX	Baby boomers' kids, informally
HERDS	Groups of buffalo
