PRADO	Madrid's Paseo del ___
PROP	Shore (up)
REFS	Zebras
AMAT	Last of a Latin trio
DORADO	Fish also called mahimahi
ORIGIN	Source
BRAVADO	Swagger
BRAD	Thin nail
REV	Padre, for short
ACE	It's not returnable
VINNIE	Barbarino on "Welcome Back, Kotter"
ATTEST	Certify
DEMOS	Deejay's disks
ODA	Harem room
GRAHAM	Modern dance giant
GLEECLUB	Group in robes
RAITT	"Nick of Time" Grammy winner
ATTA	Girl lead-in
HIFI	Sound setup
ANIL	Indigo source
MOT	Epigram
TREMOR	Reading on the Richter scale
TSU	Nashville sch.
RECITED	Declaimed, as "A Visit From St. Nicholas"
LATINO	Barrio resident
SOFARIHAVENTMADEITFIT	Start of a verse
HEX	Put the whammy on
DRAWON	Make use of
UPSTAGED	Outdid
NEO	Introduction to conservatism
RETAIL	Not the lowest prices
DIX	Social reformer Dorothea
SWISS	Word with guard or chard
SLAV	Pole, for example
WERE	"The stockings ___ hung..."
ACT	Take steps
SAILON	Order to the "Ship of State"
SPIRO	Gerald's predecessor
AIMAT	Shoot for
INPUT	Ideas, opinions, etc.
LEO	Sign of summer
FLEET	Like Atalanta
FOIE	Liver, in Le Havre
AWL	Its point is to make holes
ALASKA	Subject of an 1867 sale
DARK	Swarthy
DADAIST	67-Down, for one
AMORS	Cherubs
RONDE	1950 Max Ophuls film "La ___"
KNEEL	Prepare to propose
PINE	Yearn
SOAR	Zoom
STONE	Pit
ALOU	Matty or Moises
ACCENT	Sign of stress?
AMON	Chief Theban deity
IMPOSITIVEITCANBEDONE	Part 2 of the verse
SOMEHOW	By hook or by crook
ITALY	Po land
IMA	Muldaur's "___ Woman"
TACOS	They have edible shells
EGERIAS	Women advisers
RAU	Writer Santha Rama ___
OTOE	Plains Indian
MACS	Slickers
GARDE	Word from a fencer
OTTOMAN	Seat of an empire?
OCELOTS	Cousins of margays
SPACEK	1980 Oscar winner
STINGO	Strong ale
PESTO	Genoese creation
GEISEL	Theodor ___ (Dr. Seuss)
GENII	Bottled spirits?
CELESTE	Name that means "heavenly"
SWEETS	Dieter's bane
ONAGERS	Wild asses
GUSHY	Not reserved
SHEEHY	"Passages" writer Gail
SMALL	Slight
HAHAS	Laugh track sounds
ERNST	Artist Max
WISEST	Most like the Magi
EST	N.Y.C. zone
UNITING	Joining forces
INSET	Enlargement, maybe
NEIGE	Mont Blanc covering
GATOR	Burt Reynolds flick
MARLO	Thomas of TV
ENTS	Tolkien tree-men
ASIA	It has a Minor part
ATOM	Energy source
NEA	PBS benefactor
AHNOWIVEGOTITTHISISIT	Part 3 of the verse
ICEPICKS	They produce chips off the old block
VANISH	Leave no trace
ITEM	News squib
TRAY	Carhop's burden
ISA	O.T. book
LAST	Cobbler's form
CATO	Rival of Scipio
TROY	Hecuba's home
SEGO	Mariposa lily
LSTS	W.W. II landing craft
ENS	Printers' widths
STEAM	Letter opener?
SEASON	"'Tis the ___ to be jolly"
TATTLE	Be a snitch
SLATER	Famous Christian
STEVIE	Glenda Jackson biopic
LORENA	Name in 1993 headlines
API	Bee: Prefix
ARYAN	Indo-European
SEAMY	On the sordid side
SCION	Offshoot
ATO	>From ___ Z
APE	Galoot
DEBRIS	Rubble
DEEP	Like still waters, maybe
ERDA	"Das Rheingold" earth goddess
BROW	Knitted item
CAT	Socks, e.g.
OPERETTA	D'Oyly Carte offering
OSTE	Bone: Prefix
ERGS	Work units
TYRE	King Hiram's home
TOIL	Drudgery
AND	What's more
MERRYCHRISTMASEVERYON	End of the verse
MRS	"___ Winterbourne"
RCA	Elvis's label
MAT	Welcome giver
ANT	Sugar lover
REDOAK	New Jersey's state tree
COOLANT	Engine fluid
INGRID	She played Anastasia in "Anastasia"
SPAWNS	Begets
ANNETTE	Popular Mouseketeer
EASEL	Chart holder
