BBQCHIPS	Party bowlful with zing
BYJOVE	"I swear!"
BOOZES	With 6-Down, gets bombed
QUESTS	Parts of many role-playing games
CGI	Technology for "Avatar," e.g.: Abbr.
HOS	Noel syllables
ITUP	See 2-Down
PIZARRO	He had Atahualpa executed
STUCKUP	High-hat
SPLIFF	Joint
STDS	They're normal: Abbr.
POE	"Hop-Frog" writer
LOVER	Flame
IFIDIDIT	Controversial O. J. Simpson book
FACETIME	Camera hog's concern
FRENZIES	Fans may be worked into them
YOUGOTIT	"No problem!"
TOOFAR	Bad way to carry something
JOEISUZU	Pitchman who said "It has more seats than the Astrodome!"
DEVICE	Peripheral, e.g.
OZS	They may be fluid: Abbr.
PACTS	Covenants
TOME	One with an extra-wide spine
EDEN	___ Prairie, Minn.
VETTE	Sporty ride
TETR	Half of oct-
EXHALED	Let out, in a way
RKO	Its final production was released in 1959
FRITZ	Cat of comics
FRANCIS	Crick who co-discovered DNA's structure
ESSEX	One of the Home Counties
RUMOR	Thing picked up at a water cooler
ORCA	Cousin of a blackfish
DII	Year China's Liang dynasty began
THEOPERA	Part of some cultural nights out
EGAN	Eddie who inspired "The French Connection"
IME	"___ Mine" (track on "Let It Be")
WETRAG	Total bore
WHACKJOB	Nut
EMPANADA	South-of-the-border snack
TOOKOVER	Grabbed the reins
CNOTES	Large pieces of cabbage?
OKRA	Soup thickener
HMO	Humana offering, briefly
LAIDBACK	Unlike a type A
ISSO	Childish rejoinder
DOTCOMS	Many went bust after booming
BREAKIN	Cause for an alarm
APO	Letters for enlistees' letters
ENSOR	"The Lamp-Lighter" painter
IRISH	___ Spring
INJOKE	What only a select few might get
STOKER	Person firing a locomotive
HONEYS	Uses cajolery on
CAKED	Solidified
EWING	1992 Dream Team member
STE	Relative of "Apt."
SANTO	Paradigm of piety, in Pamplona
KNOW	Have down
FOCAL	In the middle
FRED	Ebenezer Scrooge's nephew
LENO	Noted reader of headlines
JON	English composer/pianist Lord
JAVIER	Pitcher Lopez or Vazquez
ESE	Official conclusion?
OKEYDOKE	"No problem!"
YOO	___-hoo
DRK	Nickname for Dwight Gooden
ODENSE	Port named for a Norse god
MINORKEY	Setting for half of Chopin's 24 preludes
BARGED	Thrust oneself heedlessly
SNOOKERS	Flimflams
