MUFFS	Flubs
MADTV	Fox comedy show
UTERO	In ___ (unborn)
FATAL	Causing ruin
FLAILS	Thrashes about
SETTEE	Small sofa
LAW	Order's partner
LAS	___ Palmas
ASPCA	Pet protection org.
WHORL	Thumbprint feature
ADULT	X-rated
ACTE	Entr'___
DISRAELI	British P.M. before Gladstone
UGH	"Yuck!"
LAO	Southeast Asian tongue
TRE	Uno + due
ATALE	Dickens title starter
ASH	16-Across residue
CIGAR	Havana, e.g.
DETAT	Coup ___
SPORTSHOE	Nike product
RILL	Streamlet
TRAITS	Genes govern them
SYRIA	Half of the United Arab Republic
CRIER	Bearer of town news, once
VOLLEYBALL	Sphere at the Olympics
BEANS	Pintos, e.g.
ABCS	Kindergarten basics
BLAKE	Pianist Eubie
COKES	Drinks with the old slogan "Refresh yourself"
SWEDE	Jenny Lind, e.g.
SERE	Withered
LIELOW	Stay out of sight
ISP	Enabler of WWW access
STL	Cardinal letters?
STAGE	Oater transport
THIRD	Bronze medalist's place
LEROY	Sports artist Neiman
IAMB	Poetic foot
MBA	C.E.O.'s deg.
BELLI	Melvin, the King of Torts
SLAKE	Quench
THEYCANBESPIKED	What 18-, 23-, 52- and 61-Across have in common
YESSIREE	"You betcha!"
CDS	Music store mdse.
STATS	ESPN figures
AIRED	Made public
SALT	Margarita glass rim coater
ESE	Language suffix
GROSSE	___ Pointe, Mich.
EFGH	Run after D
LASS	Kiltie's gal
SPEAKS	Sounds off
SUNLIT	Like some bright rooms
EDYS	"Grand" ice cream brand
FRUITPUNCH	Prom beverage
ROAST	Friars fete
UTILE	Serving a purpose
NODTO	Acknowledge, in a way
CREEP	Sleazeball
HANDS	Ranch crew
INGOT	Bullion unit
NTWT	Food label abbr.
SENORA	Madrid madam
SHORTHAIR	Unhippielike characteristic
STS	Ave. crossers
HHH	L.B.J.'s veep
ORE	It needs refining
RYE	Deli loaf
ALDEN	John on the Mayflower
THREW	Lost on purpose
SLY	Crafty
KITED	Falsified, as a check
SHEET	Quickie ghost costume
TEE	Links prop
STOPS	Heeds a roadblock
