RAGA	Indian music
RAH	Good cheer?
AJA	Steely Dan's best-selling album
GAP	Feature of Alfred E. Neuman's smile
ARPS	Some Dada prints
SEAU	12-time Pro Bowl pick Junior ___
SWIVEL	Feature of many an office chair
EIRE	Green land
ANT	Figure on a hill
UGH	Cry before or after sticking out the tongue
QTRS	N.F.L. game divs.
QUAVER	Eighth note
TRYA	"___ Little Tenderness" (1960s hit)
RATS	"Darn it all!"
SLOT	Part of a schedule
AJAR	Close to closed
OWING	In debt
OBESE	Overly large
URAL	Europe/Asia boundary river
HAPPYBIRTHDAYTO	Step 1: Highlight this answer
YIELD	End-of-ramp directive
DAZES	Stuns
SIEVE	Strainer
AVAST	Sailor's "Stop!"
ILA	Wharf workers' org.
ICINGS	Bakers' coats
LINEUP	A suspect might appear in one
ARRIVE	Make it
ESE	Little Rock-to-Birmingham dir.
RAZE	Demolish
RTES	Sts. and rds.
ATWT	Periodic table no.
CIRCLELETTERSTO	Step 2: With 43- and 55-Across, do this in the grid (scrambled or not) ... it works for almost anyone!
CEL	Framable frame
EJECT	Bounce
SOREAT	Irritated with
THELMA	Louise's cinematic partner
OMELET	Western ___
INRED	How Santa dresses, mostly
JEWS	Saturday worshipers
OHM	Electrical law maker
NEIL	Diamond of note
ANEST	Build ___ (settle down)
AXON	Nerve appendage
NEUT	Like "das" in Ger.
CREE	Canadian native
CNN	King's employer
GUV	Fellow, in British slang
EXEC	Co. figure
ELIHU	Root who won the 1912 Nobel Peace Prize
KNELL	Belfry sound
KEYUP	Excite
SPELLOUTTHENAME	See 27-Across
LATOYA	One of the Jacksons
THECAR	1977 James Brolin thriller with the tagline "What EVIL drives ..."
HABIT	Usually black garb
AINT	With 48-Across, "... and that ___!"
HAY	See 47-Across
TAT	End of a machine gun sound
DARTH	"Star Wars" title
DOCK	Where to tie one on?
AFRO	Rounded hairdo
RYAN	Meg of "You've Got Mail"
REBUS	The heart in "I Love New York" signs, e.g.
REMI	Do followers
SIZE	Tag info
OFYOURRECIPIENT	See 27-Across
RAF	Part of Britain's mil.
RIA	Estuary
EEL	Reef dweller
NEB	Grain Belt state: Abbr.
TSE	"The Waste Land" poet's monogram
CRAY	Big name in supercomputers
AIMAT	Set one's sights on
ZEES	Sleep symbols
KONA	Prime coffee-growing area in Hawaii
FAIR	Ferris wheel site
ELBE	North Sea feeder
