PANDORASBOX	Source of troubles
PICNIC	Eat out?
AMRITA	Hindu drink of the gods
NOEXIT	Play with the line "Hell is other people"
DUDES	Guys
OTIS	Revolutionary patriot James
ROT	Start to smell, maybe
AFL	Union inits. starting in 1886
SHIVERMETIMBERS	"Well, I'll be!," as it might be said on September 19
BENITO	___ Santiago, 1987 N.L. Rookie of the Year
OREM	City near Provo
XES	Scratches, with "out"
SON	___ of God
SAYONARA	"Later!"
ONECARAT	200 milligrams
NEPALESE	Like soldiers known as Gurkhas
IMOUTOFHERE	"Later!"
ANE	What the 1939 50,000-word novel "Gadsby" completely lacks
CREDITLINES	Bank offerings
YEP	"Uh-huh"
NIXES	Turns down
VIM	Spirit
COCA	___ leaf
COHERE	Stick
ITIS	Irritation suffix
APET	Irritated, after "in"
ATEIT	Wiped out, slangily
PEAK	Top
TONAL	Like most music
TOPICS	What debaters debate
CAT	Persian, e.g.
UTERO	Not yet delivered, after "in"
UNLESS	Hedge word
OHARE	W.W. II air ace who lent his name to an airport
ONEAM	Wee hour
OKBYME	"That's fine"
OPERAS	Meyerbeer output
OPALS	Pendant adornments
TALKLIKEAPIRATE	___ Day (September 19)
TOASTERS	Some diner equipment
ANTEATER	It has a long tongue
LATEPASS	Student excuser
ARLO	Live folk album of 1968
ONABET	How some dares are done
TRACE	Outline
ATTYS	Bar tenders?: Abbr.
SILLS	Places for dust to collect
SHAKES	D.T.'s
SOC	Assn.
SBARRO	Italian restaurant chain
OBRIEN	TV newswoman Soledad
CAROLS	Doorstep numbers?
SEEMS	Apparently is
HMOS	Insurance providers, for short
ABBA	"Super Trouper" group, 1980
ATARI	___ 2600 (hit product of the 1970s-'80s)
TAPE	Kind of delay
JAB	Poke
JAVA	Joe
STARR	Packers QB whose #15 jersey is retired
STAT	"This instant!"
ETA	LAX datum
LAKEONTARIO	One end of the Welland Canal
LOG	Record
OAT	Bit of chicken feed
NBA	Org. with the annual Eddie Gottlieb Trophy
RES	Hi-___
OVERABARREL	At someone's mercy
SRS	Ones needing career counseling, maybe: Abbr.
GASSTATIONS	Shell locations
