MASON	Street boss
MERC	Certain Ford, briefly
ADORE	Dig, so to speak
SILAS	Fictional Marner
OFFBEAT	The cardiologist's routine was a little ___
NYET	Summit refusal?
TRADES	Exchange activities
TEHEED	Tittered
RAE	Actress Charlotte
ATBAT	Swinging, perhaps
DEER	A lot of bucks
ERST	Formerly, formerly
SSTS	Frequent fliers
PEASANT	Russian Revolution figure
PRE	Historic beginning
EEL	Elusive one
ANI	Singer DiFranco
SEVENTIES	Golf score range, with "the"
AWED	Knocked out
NERD	Hardly a hipster
TRYA	"___ Little Tenderness"
EDIFY	Enlighten
SEATERS	Ushers
STELA	Carved pillar
RENEWER	Longtime magazine subscriber
ROLFE	Early Virginia settler
THEBESTDELIVERY	The obstetrician had ___
DYER	Tannery employee
CRABTREE	Plant with a bitter fruit
REMOP	Get out the tough dirt spots
ARTSY	Pretentious
EDDA	800-year-old work on mythology
ESE	Nationality suffix
ELECT	-to-be
CAMISOLE	Woman's garment
ERVIN	Senator of Watergate fame
REP	Handle, in a way
VAL	A Batman before George
ICAME	Words from Caesar
ARMADA	Fighting force
RIODE	With 85-Down, part of Western Sahara
BADREACTION	The allergist's monologue drew a ___
BUG	Glitch
ASA	Comparison's middle
DEC	Calendar abbr.
INSTITCHES	Another surgeon had the audience ___
OTT	Six-time home run champ
NSA	Hush-hush D.C. org.
ACTIO	Legal proceeding, at law
ATONER	Yom Kippur congregant
CORNYJOKES	The podiatrist told a few ___
MEUSE	Verdun's river
ENEMY	Kind of territory
PLAINTS	Gripes
ATO	Words before Z
AWARD	Edgar, e.g.
OPENINGACT	A surgeon was the ___
EDSELS	50's failures
NUTLETS	Small cashews, say
TRIGGER	Buttermilk's companion
MESTA	Hostess Perle
WORLD	Series opener?
LIS	Easter fleur
DUSE	Bernhardt contemporary of old theater
RIPEST	At the highest development
INHERE	Belong
PGS	Some film ratings
ANNIE	1977 Broadway hit
STOMA	Leaf pore
ALB	Country next to Yugo.
PING	Engine sound
PULLBOAT	Log-towing barge
IAM	Song words before "a rock" and "the walrus"
ALCOTT	"Jo's Boys" author
MOATS	Deep ditches
REYS	Actor Fernando et al.
BELLYLAUGHS	The gastroenterologist got many ___
BEE	Wax producer
AUNTS	Some reunion gatherers
STLO	W.W. II battle site
SEN	Bit of Indonesian money
DRJ	Hoops legend, familiarly
ELEE	Completion of Robt.'s signature
BULGE	Expansion of a sort
MECCA	Hajji's destination
MIKAN	1949-51 N.B.A. top scorer George
ODDEST	Least typical
DIRECTHIT	Bull's-eye
DRANO	Brand with "churning power"
NLER	Mark McGwire, e.g.
INHOT	___ water
FAKIR	Miracle worker?
FEN	Quagmire
AMO	Common Latin verb
SHORTBREAK	The orthopedist went on stage after a ___
HAI	"Bali ___"
ORO	See 37-Down
REN	TV dog
APART	To bits
ETS	French links
EMERALD	May birthstone
LSU	Southeastern Conf. team
DAG	First name at the U.N.
ARESO	"You ___ Beautiful"
PABST	Beer name since 1889
BIGLIFT	The plastic surgeon's humor gave the audience a ___
NOSENSATION	The anesthesiologist's shtick was ___
THEN	Next
ARMANI	Big name in fashion
REARED	Put up
MARSH	Quagmire
COUGH	Engine sound
ATEAR	Shed ___
ASNER	Grant portrayer
GSA	Fed. property overseer
SANTA	Dancer director?
ASTER	Flower with a showy head
BEET	Mangel-wurzel
BRAC	Bric-a-___
EASE	Nonchalance
ESPN	One place to get scores
EDITS	Prunes, in a way
DENS	Burrows
ILIE	Onetime rival of Bjorn
TINE	Antler's point
ARTCLASS	Place for posers?
CPAS	They often itemize
SORE	Upset
RASHOFONELINERS	The dermatologist came out with a ___
ORE	Valuable rocks
FIR	Seasonal purchase
ONS	Switch ups?
EVE	Time before
PINTO	Kind of bean
ASPIRIN	It's a relief
NINEVEH	Capital of ancient Assyria
AFTER	Following
CENTERS	Gretzky and Ewing
SEERED	Get ticked off
STARE	Rubberneck
