LILAC	Purple bloomer
LOCI	Centers of activity
IDOL	Teen fave
LOCKSMITH	Yale person?
AUK	Diving bird
CRATE	Rugged box
PALE	Hardly tanned
PRONTO	"Right away!"
AEON	Long, long time
LAD	Little shaver
ELLS	New wings
MEAT	Vegan's no-no
MEDICS	Army docs
ELOPE	Skip the big wedding
ALOES	Balm additives
TAMS	Highland hats
ODOUR	Staffordshire stench
REAL	Factual
ELLA	First name in scat
COCKADOODLEDOOM	Dire early morning warning?
DENT	Fender blemish
ENIGMAS	Riddles
ILK	Sort
TENN	Ga. neighbor
SNIPES	Takes potshots
SPENT	Used up
PACT	Nafta, for one
ICES	Cools down
MAMA	Doll's cry
MELD	Pinochle combo
ARIA	Diva's delivery
TOPDOGS	Big cheeses
PHASE	Part of a lunar cycle
DAN	Newsman Rather
ORG	Nonprofit's U.R.L. ending
ERICA	Author Jong
ALLOVER	Here, there and everywhere
HARM	Do damage to
FRO	To and ___
FOURSCORE	Gettysburg Address opener
ROTO	Old newspaper section
OMEN	Foreboding
LITTLEKANGAROOM	Joey's place?
EEL	Fish caught in a pot
KID	Tease
RAIL	Alternative to air or highway
DAH	"Lah-di-___!"
LEIS	Kauai keepsakes
SAUTE	Pan-fry
BOLDEST	Most fearless
BIGTOE	Often-stubbed digit
STEAMY	Hot and humid
TERR	Status before statehood: Abbr.
IRON	Golfer's selection
SHIV	Hood's blade
SPEAR	Asparagus unit
HONKS	Sounds of frustration
TELLS	Snitches (on)
LAKER	Los Angeles hoopster
APOGEE	Orbital high point
ACME	Pinnacle
EARN	Make, as money
SERA	Blood fluids
SPAR	Debate (with)
CSA	Jefferson Davis's org.
SOIL	Make dirty
AMES	Home of Iowa State
CENTRALPARKZOOM	Buzz over New York City animals?
LEA	Pasture
ZEE	Tappan ___ Bridge
MAKO	Powerful shark
REAM	Enlarge, as a hole
EERIE	Spooky
ERSE	Gaelic tongue
NARY	___ a soul
REELS	Lively dances
