BIOLAB	Scientific research center
BIC	Lighter handle?
IGOTCHA	Prankster's cry
ONEHOUR	TV drama length
LOREN	"Two Women" Oscar winner
ARCS	Musical ties, essentially
BEET	___ greens
SNOB	Belittling sort
SAATCHI	Big name in ad agencies
NUMERAL	I, for one
ORAN	North African port
BANISTER	It can be found step by step
CASH	Bills, e.g.
CALLIN	Talk radio feature
ASEA	Between ports
STAN	"South Park" boy
HIND	Female deer
EFS	Two of fifty
EDSELS	Collectible Fords
FOUROF	:56, timewise
SWERVE	Try to avoid hitting
IGNORE	Brush aside
AURA	Feeling
ASTI	Italian province or its capital
DOWD	Sharp-penned Maureen
DRYER	Place for a tumbler
COERCE	Strong-arm
AMAN	"___ Apart," 2003 Vin Diesel flick
LEAN	Low in fat
SUER	Person seen in court
THESTATENISLANDFERRY	Free service started in 1905
ANN	Politico Richards
SKA	Calypso kin
FINS	Fivers
ECON	Nobel Prize subj.
ETC	Mail Boxes ___
NCR	AT&T acquisition of 1991
SKI	Travel between the poles?
ILOVE	Irving Berlin's "___ a Piano"
THU	Calendar abbr.
MANHATTANTRANSFER	Popular 1970's-80's vocal-harmony quartet
MOWN	Cut
ALEX	1959 Wimbledon winner ___ Olmedo
TIGE	Buster Brown's dog
TOSS	Turn's partner
RNA	Translation material
AUTEUR	Not your ordinary film director
CARROL	1930's-50's actor J. ___ Naish
ROOFTREE	Beam at the very top of a house
ILIE	Nastase of tennis
ONUS	Cross
OWES	Is beholden to
STONY	Expressionless
GRINSAT	Reacts to, as a joke
IGOR	Operatic prince
NICKJR	Cable channel for kids
IRE	More than exasperation
INITSELF	Apart from others
RESHOE	Work on more, as a farrier might
EAMONN	Irish runner Coghlan
ABRONXTALE	1993 Robert De Niro film
ARRAS	Ornate wall hanging
BEULAH	1950's sitcom starring Ethel Waters
RENEGE	Go back
ARE	Don't just seem
LOWELL	Merrimack River city
GIS	Military joes
ENNEAD	The Supreme Court, e.g.
NRA	New Deal agcy.
DONGS	Cathedral bell sounds
REEF	Snorkler's interest
ORO	First prize at the 1992 Olympics
DOC	One who's an -ologist, maybe
DOT	When said three times, finale suggesting uncertainty
TURISMO	Major industry of Madeira
TAMMI	Singer Terrell
RUNTHENEWYORKMARATHON	What thousands do on the first Sunday of every November
HTS	Shaker ___, O.
ELTORO	Combatant in una arena
YAYA	"Divine Secrets of the ___ Sisterhood"
MAO	He wrote "Political power grows out of the barrel of a gun"
ALERTLY	Best way to drive
EAT	Do some carbo-loading, e.g.
JAM	Printer problem
SONG	Bird call
SAGEST	Best, as advice
SLY	Furtive
SHOO	"Git!"
PROMQUEENS	Teens with tiaras
PARC	Green piece of Paris
QTRS	Bowl parts: Abbr.
ULEE	1997 Peter Fonda role
HEE	Laugh sound
OOHLALA	"C'est magnifique!"
OER	Anthem contraction
LAHDIDAH	Fancy-schmancy
ITLL	"___ cost you!"
OREO	Ingredient in Cookies 'n Cream ice cream
OBOE	Wind up on stage?
ARCO	Bowed, in music
CONBRIO	With vigor
OUTRANK	Surpass
REFITS	Fixes up, as a ship
INAYEAR	12 months from now
TORNADO	Siren's cause
SSE	Storm course: Abbr.
FIVEBOROUGHCOURSE	What people follow when they 67-Across
FEATS	Exploits
INTOIT	Rapt
VERONA	"Romeo and Juliet" setting
ERENOW	Heretofore
UNWISE	Stupid
GES	Some TV sets
RHO	P
NOS	Turndowns
ENERO	Month in Madrid
NED	Nancy Drew's guy
NTH	Advanced degree
AARE	Bern's river
ALGER	"Risen From the Ranks" writer
ATREEGROWSINBROOKLYN	Classic best seller by Betty Smith
GLAD	Garden bloom, informally
REPO	Defaulter's loss
OVEN	See 123-Across
NOGO	Forbidden
OAKS	Sturdy ones
KENO	Gambling game
TOON	Bullwinkle, for one
LEVI	1890's veep ___ P. Morton
DORA	"David Copperfield" wife
AEGEAN	Sight from Turkey
NSW	Australian state: Abbr.
SINO	___-Soviet relations
APES	Goons
AGIN	Opposin'
KNEADS	Works with the hands
TAW	Shooting marble
DONE	Ready to come out of the 109-Down
HOOK	Boxer's punch
SORROW	Regret
