SECT	Quakers or Shakers
SERB	1999 war combatant
ELAL	Ben Gurion arrival
CLIO	Sister in myth
TASTE	Refinement
ADOLPH	Old film magnate Zukor
ASTOUND	Bowl over
DOH	Cry made with a head-slap
ONE	What I will always be?
LOP	Prune
PROF	T.A.'s superior
HATES	Is averse to
TILL	Bill collector?
TIEDINWITH	Related to
ISNT	"___ It Time" (1977 hit)
LATH	Plaster base
LYRES	Instruments played by 3-Down
CARB	Low-___
CANINES	Denture parts
ALOT	Tremendously
ROUT	50-0, e.g.
BUSY	In use
ELLA	1940's-50's actress Raines
SONORA	State bordered by the Colorado River
ISAY	"It is my suggestion …"
ALOU	Baseball star born in Santo Domingo
RAISETHEPOT	The marijuana dealer tried to …
ETRE	Verb origin of suis and sont
ENTRENOUS	Confidentially
EKED	Scratched (out)
BLOTTO	Wasted
FEEDTHEKITTY	The veterinarian tried to …
EROS	Taker of a bow?
ERUPTS	Goes off
PSIS	Electric flux symbols
TIVO	Modern subscription service
SLALOM	Zigzag
SRI	Title for a 50-Across
SEN	Clinton or Dole: Abbr.
USC	Crosstown rival of the Bruins
UNMAN	Frighten
SIEGE	War tactic
CALLTHEBETS	The telemarketer tried to …
ENSILE	Store outside a city?
ESTRAGON	One of the ones waiting in "Waiting for Godot"
ONCE	"When I was young …"
CARETS	Manuscript marks
EMO	Offshoot of punk rock
DEBTS	What markers may represent
BUCKTHEODDS	The rodeo rider tried to …
TEPEE	Crow's home
STUNS	Gives an electric jolt
NIA	Actress Vardalos
DIVAS	Bette Midler and others
SWAMI	All-wise one
INSERT	Supplement
SUET	Bird feeder fill
MELDS	Canasta plays
DOGEAR	Place marker
SWANKER	More stylish
SOLTI	Budapest-born conductor
INTRUDE	Go where one's not welcome
IRONS	Flattens
SHARONA	Title girl in a 1979 #1 hit
CPU	Core of a PC
AGLOW	Radiant
ORNATE	Almost too much
ACESOVER	Start of a full house declaration, maybe
SHAKEN	Awestruck
ANAKIN	Luke Skywalker's father
NETGAIN	Bottom line figure
INTWOS	Paired up
NAH	"No dice"
MATCHTHEANTES	The arsonist tried to …
HIS	Part of H.R.H.
HENNAS	Shades of red
SERENA	Big name in women's tennis
GRE	Srs. may take it
SIRRAH	Shakespearean term of address
BREAKTHEHOUSE	The demolitions expert tried to …
BRING	Raise, with "up"
REVUE	Song-and-dance special
HOLYTOLEDO	"Unbelievable!"
ESALEN	Alternative education institute since the 1960's
STOKEUP	Fuel
UBOAT	W.W. II menace
PERMS	Salon jobs
REBREW	Use over, as tea leaves
RONDOS	Sonata finales
NIOBE	Tragic figure in Greek myth
IVE	Ending with rest or fest
ROWEL	Wheel on a spur
WAD	Ton of money
EVADE	Slip by
DAME	Broad
ETAL	List ender
ANDOR	All-purpose connector
NUTS	Baklava ingredients
STEWART	Popular late-night host
SANYO	RCA competitor
OAHU	Home of the superhighways H1, H2 and H3
ELATE	Give a lift
EILEENS	Actresses Fulton and Brennan
DAM	It may get into deep water
GESTE	Old-fashioned adventure
EDTV	Ron Howard flick of 1999
DATA	Food for thought?
REMAIL	Forward
LINC	"The Mod Squad" role
STS	Urban gridwork: Abbr.
EDS	42-Down users, for short
SHEEP	Wolf's prey
OHO	"Now I get it"
OSCAR	"And the ___ goes to …"
NELLIE	Baseball Hall-of-Famer Fox
ETAIL	Web biz
DRAWTHEFLUSH	The artist tried to …
DMVS	Auto lic. bureaus
REEL	Part of a Hollywood archive
ASEA	Fishing, perhaps
ERNO	___ Laszlo skin care products
FDIC	It helps prevent runs: Abbr.
HUME	Philosopher David
ENTERS	Keyboard commands
ERMA	First name in newspaper humor
RDAS	Vitamin bottle info, for short
SSNS	Personal ID's
MESAVERDE	National park in Colorado
CUTTHECARDS	The hair stylist tried to …
TAB	Keyboard key
TZU	China's Lao-___
HOT	In
VEER	Angle (off)
ENID	Patient wife of Sir Geraint
AMAZON	Big bookseller
IMAN	Somalia-born supermodel
SLAT	Louver feature
POCO	Somewhat, to Salieri
REBUTS	Counters
LASS	Miss
