FENCE	Dealer in hot goods
FEZ	Aladdin's hat
ENO	Musician Brian
NOW	When repeated, a phrase of reproof
CRIMP	Make wavy
EMERITI	Some academic retirees
NAPS	Siestas
NAVI	Peaceful race in "Avatar"
ALEC	Waugh who wrote "Island in the Sun"
PORES	A facial may open them
STYGIAN	Hellish
IMUP	"No need to wake me!"
ICKY	Gross
MUHAMMADALI	Self-proclaimed "astronaut of boxing"
UBANGI	Congo tributary
PANAMA	Southernmost country in Central America
ENORM	Huge, poetically
ALOT	Tons
CUBA	Destination of many 1960s-'70s airplane hijackings
ZOWIE	"Ooh-la-la!"
VERY	"___ funny!"
KHAN	Genghis ___
MRNICEGUYANA	Title for a South American mensch?
NEON	Really bright, as colors
USNA	John McCain's alma mater: Abbr.
HIPPIE	"Hair" extra
HASP	Door fastener
IRMA	"My Friend ___" of 1950s TV
PROCOLHARUM	"A Whiter Shade of Pale" group
SIS	Bro's sibling
MGM	"Gone With the Wind" studio
ARR	Flight board abbr.
TOAT	Perfectly
AGHA	Ottoman V.I.P.
TBONE	Cut above the flank
ANEMIA	Tiredness
ENID	Sir Geraint's faithful wife
SMOKINGBANANA	Result of heating a certain fruit too long?
KENO	Casino game with a caller
APBS	Police dept. alerts
PACE	Tempo
HOP	Bunny's move
IDIG	"Gotcha"
INON	Get ___ the ground floor
GABS	Runs off at the mouth
ONEMANBANDANA	Informal headwear that can't be shared?
ESSO	Old U.S. gas brand
MISFITS	Final movie of Marilyn Monroe and Clark Gable, with "The"
AABA	Rhyme scheme for Frost's "Stopping by Woods on a Snowy Evening"
NUANCED	Carefully worded
PELOSI	House speaker Nancy
PAJAMA	Word before bottom or party
ECOCAR	Prius, e.g.
ESAU	Biblical figure whose name means "hairy" in Hebrew
LOB	Easily smashable tennis shot
ACH	German "Oh!"
SSN	ID on I.R.S. forms
NAGAT	Harass
BASINS	Sinks
SALVE	Wound soother
JOANOFARCANA	Secretive singer Baez?
NESS	"The Untouchables" character
ROME	"I, Claudius" setting
CREW	Sport with shells
ACRE	Plot division
IGOR	Composer Stravinsky
CLEAR	Transparent
EAT	"___, Pray, Love" (2006 Elizabeth Gilbert best seller)
ADO	Hubbub
REX	Tyrannosaurus ___
MAUS	What a Katze catches
TAME	No longer wild
EVADE	Skirt
ARMS	Rifles and such
STEW	Meat-and-potatoes dish
DETOX	Program for getting clean, briefly
