CKICK	Soccer award
CPOCKET	Shark's target, at times
KITHARA	Ancient harplike instrument
INHALERS	They may deliver anesthesia
CHE	"Voi ___ sapete" (Mozart aria)
KELP	Sea food?
POETSC	Westminster Abbey area
PAULKLEE	"Ad Parnassum" painter
OTT	Giant from Gretna
ECOLI	Dangerous strain
TAMEST	Least likely to snap?
STAGES	Levels
CSTORE	Where some errands are run
PINHEAD	Dope
ALENE	Coeur d'___
DONNA	"Beverly Hills 90210" female
FATCATS	Campaign targets
FAA	Carrier overseer: Abbr.
OTHELLO	Commercial game with disks
AUTOMAT	Outmoded eatery
CHA	1979 hit "What ___ Gonna Do With My Lovin'"
PENPAL	Photo requester, maybe
PEST	Bother
LEGO	Building block
KALE	Mustard family member
ESTES	Newbery winner for "Ginger Pye"
NNE	Munich-to-Berlin dir.
KAISER	Kind of roll
ASKED	Didn't order
ERES	"So ___ to you, Fuzzy-Wuzzy": Kipling
EASELS	Oil holders
ERR	Trespass
TSE	Philosopher Lao-___
TARTS	Baker's dozen?
SENAT	Législateur's group
TREKS	Journeys
SLOES	Dark purple fruits
SEEMS	Looks
MADSCENE	"Lucia di Lammermoor" feature
SIL	Part of R.S.V.P.
REELS	Frames wind up on them
SETPIECE	Part of the scenery
SNAIL	Mobile home dweller
LIMA	Pizarro founded it
DOEST	Spenserian verb
STANDIN	Double
TURNSAC	Changes direction
CAN	Oil holder
CATTYC	Diagonal
ADORES	Loves
NOSALT	Kind of diet
ADLIBS	They're not rehearsed
BAITS	Teases
SIGHT	Pupils take part in it
ETTU	Accusatory response
ADOPTS	Takes in
PHILO	Theologian ___ Judaeus
MAI	Time in le printemps
SPAR	Practice like a pug
TOSH	Rot
CRAIGS	Baseballer Biggio et al.
REG	Gas station abbr.
SELA	Ward of the screen
INN	Crowded place in the Bible
TRAINEE	One new to a line
NIN	"Little Birds" writer
THEFEDS	They got Gotti
FUM	Part of a giant's chant
YELLING	Fans' activity
STLUCIA	Its capital is Castries
CSTONE	Building block
AMENC	Fervent worshipers' place
