CHEFS	Kitchen V.I.P.'s
CUD	What a cow chews
HBO	"Entourage" network
EON	Ages and ages
FAQ	Online help page
STUBBED	Struck accidentally, as the toe
WIPE	Towel (off)
WAXER	Floor finisher
IPOD	Item with earbuds
PET	Favorite
EXECRATE	Detest
IDOL	Rock star, say
IDEATE	Think creatively
DENNISQUAID	Star of "The Rookie," 2002
OMITS	Fails to mention
LIDS	Jar tops
UBOAT	W.W. II German sub
APEX	Peak
DEMI	Moore of "G.I. Jane"
DONQUIXOTE	Tilter at windmills
IRAN	Ahmadinejad's country
ENID	City NNW of Oklahoma City
BRED	Raised, as livestock
CHANTS	"Dee-fense! Dee-fense!" and others
HAVE	One who's well off
SIDEBAR	Little article accompanying a bigger article
SURGE	Increase in troop levels
ISAAC	Newton with a law named after him
DOCTORQUINN	Medicine woman of 1990s TV
EPEE	Fencing sword
GRATIS	For free
GONGS	Pagoda instruments
USOPEN	One of golf's four majors
LOAVES	Biblical objects of multiplication
LOREN	Italian 31-Down star Sophia
RACED	Sprinted
MONTE	___ Carlo (part of Monaco)
MOVIE	See 29-Down
QBS	"Hike!" callers in football, for short
BRINE	Salt water
SONGS	Hymns, e.g.
GATE	Entryway
FORGE	Fabricate, as a signature
FLAREDUP	Came back strong, as allergies
EURO	Multinational currency
ERMA	Bombeck who wrote "The Grass Is Always Greener Over the Septic Tank"
ECO	Umberto ___, author of "The Name of the Rose"
ELVES	Santa's little helpers
ETAS	Greek H's
BRAIN	Cranium contents
BAROQUE	Like the works of Handel and Bach
RETAIN	Hire, as a lawyer
EUREKA	"I've got it!"
GAMING	Industry in Las Vegas and Atlantic City
GARY	Indiana birthplace of the Jackson 5
SQUARE	Plaza
SOLID	Sphere or cube
PARADES	Plaza displays
PERON	Argentine dictator who was ousted in 1955
COURSE	Psychology 101, e.g.
CEDE	Relinquish
ZERO	Number of calories in water
ZITI	Casserole pasta
ELIE	Nobelist Wiesel
DAIRYQUEEN	Place to order a Blizzard
ANA	"Gimme ___!" (Alabama cheerleader's cry)
URN	Container at many receptions
EGO	Maniacal leader?
EEL	Ingredient in some sushi rolls
NSA	Intelligence-gathering org.
DINK	Softly hit ball in tennis
UNTO	"Render ___ Caesar ..."
URGES	Eggs on
EDNA	Writer ___ St. Vincent Millay
PAIN	Aspirin target
ENOLA	___ Gay (W.W. II plane)
