POSTED	Informed
PASHA	Ottoman title
ONTAP	Ready to be drafted
SYRUP	Corn product
TOOTLE	Flute sound
ENDEAR	Ingratiate
DEE	River in Aberdeen
CHORALE	Many a hymn
CHARO	One-named Spanish singer/actress
HOYLE	Big name in games
OVO	Ab ___ (from the beginning)
REF	One who may O.K. a KO
ALFA	___ Romeo
LEILA	Girl rescued by Don Juan
ERNESTO	Carmaker Maserati
ABRAM	James ___ Garfield
APP	PC program
BRAVURA	Showy musical style
RODIN	"The Kiss" sculptor
AMEND	Set right
MOSES	Aaron's brother
ANYONE	"Do I have a volunteer?"
SHOVELER	Duck with a broad bill
SPAN	Full extent
PROMO	Spot broadcast, often
STRODE	Walked purposefully
PAYOFFINSPADES	Bribe, say, a gardener?
SETSA	___ date (makes wedding plans)
HAUTE	French high
EARL	A peer
EDSEL	Bomb developed in the 1950's
ALEE	Opposite  of windward
VINE	Botanical creeper
APPLAUDNOEND	Withhold praise for certain football linemen?
URB	Metro area
NOV	Natl. Adoption Awareness Month
DUES	Club charges
ASTOUNDS	Blows away
OAF	Clodhopper
ERRS	Blows it
OUI	Un vote, peut-être
INKER	Printing press part
TSAR	Past potentate
AOK	Just fine
ABED	Not up
ORNE	River in D-Day news
KIEV	Chicken ___
BEDRIVENTOAFAULT	Get a ride for seismological research?
DODO	Dummkopf
ROAN	Mixed-with-white, as horsehair
INNATE	Present from birth
TANG	Salsa quality
URAL	Continental divide
LUXE	Poshness
TRI	Geometrical prefix
BRIAN	Jones of the original Rolling Stones
AMELIE	Title girl in a 2001 French comedy
NYLON	One stocking
LOON	Minnesota's state bird
SKA	Jamaica-based music
RUR	Karel Capek play
ENEMY	Shooting target?
DANK	Dungeonlike
KLUTZ	Butterfingers
ENYA	"Only Time" singer
YEGG	Human cracker
ASOF	Commencing
MAXI	Great start?
MADEIT	Arrived
DEVELOPONALARGESCALE	What mold might do at an obesity clinic?
ORGS	Grps.
PISH	"That's hogwash!"
ATHENS	Ohio University site
CLIPS	Excerpts
LORI	Actress Petty
TUT	When repeated, a rebuke
GOLD	Kind of standard
STINGSOMETHINGFIERCE	Make a monster smart?
SOLO	With God as one's co-pilot?
TIER	Seating section
OUCH	Punch response
MEDAL	Hero's pride
IRAS	Income source for seniors, for short
NOVI	___ Sad (city on the Danube)
REOS	Model T contemporaries
CROP	Dusting target
ESPY	Spot
JOIE	___ de vivre
JAW	Shoot the breeze
SHUE	Elisabeth of "Leaving Las Vegas"
ZERO	Reset figure
PIERS	Mooring sites
ALE	Welsh rabbit ingredient
CDS	Today's platters
SPEW	Gush
NAVY	Dark shade
YOWLS	Loud complaints
STOOP	Row house hangout
WORKWITHAPASSION	Emulate some of Bach's composing?
KNOBBED	Gnarly
WOW	Bowl over
IONIA	Ancient land with a sea named after it
TRELLIS	Support for a 28-Across
AIR	Clothes dryer
NOI	"___ won't!" (curt refusal)
SPY	Seek intelligence
NOOR	Queen who wrote "Leap of Faith"
LEI	Gift of flowers
WOES	Troubles
EKEOUT	Scrape together
SEVERE	Torrential
DISOWNED	Repudiated
DAWES	Coolidge's veep
IRISH	Rollers of R's
SANTA	Christmas decoration
DIONE	Saturn satellite
WRITELIKEMAD	Do humor in the style of Alfred E. Neuman?
ICHOR	Blood of the gods, in Greek myth
THORS	1950's-60's missiles
EATS	Chow
MERGE	Traffic sign
ARCED	Like a rainbow
DYERS	Batik artists, e.g.
ARAB	Kaffiyeh wearer
ILIE	Bjorn rival
ENCL	Abbr. at the bottom of a business letter
CHAS	Alternative to Chuck
EVERY	"___ Heartbeat" (1991 Amy Grant hit)
WINBYALONGSHOT	Take first place in a whiskey drinking contest?
YES	Thumbs-up
GIL	Rap progenitor ___ Scott-Heron
SSE	Jacksonville-to-Miami dir.
COERCE	Strong-arm
CBS	"Rescue 911" network
ESTEE	___ Lauder
INCISORS	Canines' neighbors
BURGER	Fast food order
SHADS	Herringlike fishes
SELLERS	Listers on eBay
STEEDS	Mounts
