CUTABOVETHEREST	Superior, after "a"
COOSBAY	Harbor town in Oregon
UPRAISE	Lift
TENDAYS	Time window for a veto
ANA	Santa ___ winds
BOMB	Turkey
ONEUP	Ahead, barely
VENTAGES	Flute's finger holes
ESTATES	Probate court concerns
THANES	Macbeth and Macduff
HELEN	Lover of Paris
EATS	Vittles
RRR	School days initials
ETESIAN	Annual, as Mediterranean winds
STEALIN	Enter quietly
TOSTADA	Taqueria offering
OPENONESHEARTTO	Confide in
ORNAMENTALTREES	Decorative plants
SAD	Sorry
BUTANES	Lighter fuels
SAT	Convened
BIAS	Hiring no-no
SEVILLE	City on the Guadalquivir
PATEN	Eucharist plate
FILA	Nike rival
FREEBEE	Handout: Var.
ASYET	Up to now
TOSEE	"We're off ___ the Wizard"
GES	Some dishwashers, for short
BRAID	Place for a bow, maybe
BINET	Psychologist who gave his name to a test
YESVOTES	Those in favor
TIP	Not stiff?
VIENNA	Setting for "Der Rosenkavalier"
VIR	Man of ancient Rome
ISIS	Horned goddess
PINE	Long
PADRONES	Bosses
SCHLEP	Lug
SHOEPAC	Laced waterproof boot
COROLLA	Popular Toyota
HYMNALS	Seatback items
RAREBOOK	Bibliophile's pursuit
REOPENS	Gets back to business
ORDINEE	Minister-in-training
ONEOCAT	Baseball-like game
KENNEDY	See 42-Across
HOYLE	Settler of many an argument
TED	With 40-Down, big name in Massachusetts
THESIS	Argument
TERNE	___ metal (plating alloy)
ORME	"Her ___" ("Miss Saigon" song)
SHORN	Cut off
SERGE	Worsted variety
NUTSO	Bonkers
EDEN	First home
EON	Waiting time at the motor vehicle bureau, seemingly
KEEPOUT	Unwelcome greeting?
KENL	___ Ration (dog food brand)
TRAC	___ II (razor brand)
ION	Bonding candidate
PLAYERSENTRANCE	Rams' gate?
YEH	"Uh-huh"
AHI	Yellowfin tuna
ALLENGINESAHEAD	"Proceed!"
CASHLESSSOCIETY	An envisioned America, moneywise
