APPTS	Secretarial jottings: Abbr.
ALAMO	1960 John Wayne saga, with "The"
POPIN	Make a brief call
PERSE	By itself
TWOSIDES	Stories often have them
SENIORS	Promgoers
ANG	Lee with an Oscar
ARENAS	Some rings
NOGO	Scrubbed
GOOF	Anachronism, e.g.
CARGO	It's held in a hold
CANUCKS	Losers to the Rangers for the 1994 Stanley Cup
ACTION	Sound stage shout
REEL	Draw (in)
GIST	Heart
ONT	Home of Bruce Peninsula Natl. Park
LOEWE	"The Rain in Spain" composer
ROO	Pal of Eeyore
ACEIN	___ the hole
APRON	Stage part
EGO	Cooperation roadblock
NTEST	Provocative military move, briefly
MISSIONOFGUILT	Quest for a stereotypical Jewish mother?
OTE	Suffix with Capri
GENIE	Spirit
ONEIOTA	A tiny bit
ECO	Prefix with -cide
DRESSUNKNOWN	What the dry cleaner might say after losing a garment?
SPIFF	Spruce (up)
USN	Org. with many captains
OPAL	Word with black or fire
WOVE	Knitted
NEED	Lack
APSES	Recesses
AZOV	Sea of ___ between Russia and Ukraine
PAVE	Tar, maybe
SPAR	Duke it out
PSIS	Characters in a frat house?
POE	Author who inspired a Baltimore team's nickname
ZAPS	Stuns
MAINE	Setting of many a Stephen King novel
MEESE	1980's attorney general
ARF	It might mean "I have to go out!"
LAVE	Bathe
LOSTFACE	Was shamed
OVA	Results of oogenesis
SERF	Freeman's opposite
SEEMSTO	Apparently does
SOLED	Having a bottom
STALLED	Not going anywhere
VERSEEFFECTS	Reactions to poetry?
SYMBOL	Sign
EWINGS	Wealthy TV family
CHA	Chinese tea
YES	Check-box option
WHATTHE	"Huh ...?!"
TRYON	Wear for a moment
HEELS	They can be spiked
EERIE	Like some coincidences
COMMERCIALFREE	Like 20-, 25- and 43-Across?
CURE	Solution
OLIN	"Thirtysomething" actor
RULE	Call the shots
CRUX	Heart
BULBS	Stock at hardware stores and garden shops
BAM	"Pow!"
URN	Spigot holder
LAYER	Stack, in a way
ARIOT	Running rampant
LUG	Kind of nut
ECOLI	Cause of a food safety warning
MENLO	___ Park
EXS	George Strait's "All My ___ Live in Texas"
DENSE	Packed
