ARIEL	Moon of Uranus
ALBS	Priestly garb
REEK	Stink up the joint
ITTYBITTY	Wee
EMS	911 responder, for short
LEO	Assertive type
CAPP	Daisy Mae's drawer
CASTS	Puts in play?
ACHOO	Cause for many a blessing
PROOFREAD	Work on a galley
PEW	Place to pray
ABBA	"Take a Chance on Me" singers
ATWORK	On the job
BROOD	Nestful
BORNE	Endured
ADMEN	Some pitchers
LETME	"Here, I'll do that"
ACRE	City NE of Haifa
TROD	Set foot (on)
BETSOFSHOW	Third place wagers?
FITS	Looks good on
WORM	Internet scourge
SKY	Plane's domain
ITOO	Langston Hughes poem
BOONE	___ Dam on the Tennessee River
BUSY	Like a madras pattern
BEATSOFBURDEN	Rounds for overworked cops?
EBAY	Online bazaar
AIR	Jingle
BIRD	Cardinal, for one
ALIBIS	"I was home asleep at the time of the murder" and others
ASAP	Hurry-up order
LIRA	Old Italian coin
RISK	Take a chance
SITAR	Pear-shaped lute
FIERY	Passionate
FIRSTRATE	Well-done
ICE	Boardwalk treat
STA	Penn. place
SKINNYDIP	Swim naturally?
TACT	Diplomacy
AYES	Roll call calls
ARTY	Pretentious
NICAD	Battery type
NAIF	Babe in the woods
OKAY	"Comme ci, comme ça"
OLEO	Yellow stick
PAY	Fork over
CARED	Gave a fig
CHOU	Old Chinese dynasty
ALICE	Trixie's best friend in 1950's TV
AGO	Before now
THIS	"Who needs ___?"
TSKTSK	Finger wagger's comment
AGENTS	Operatives
AMMO	It's loaded
WETSOFTHEMOON	Lunar anti-prohibitionists?
WHIRS	Helicopter sounds
EASYA	Soft course
TINES	Spearing points
HOTEL	Suite spot
EASEL	Canvas support
HAIKU	Evocative three-line verse
ROAM	Be nomadic
YMA	Singer Sumac
MEGS	Computer capacity units, briefly
ANNE	Diarist Frank
ISNT	"___ that special?!"
EATSOFEDEN	Sustenance for Adam and Eve?
EAN	Suffix with Caesar
FAC	Univ. body
ELO	"Evil Woman" grp.
RYES	Alternatives to pumpernickels
ATEE	Suit to ___
ALIGN	Fall into rows
SASK	Can. province
NELL	Emmy- and Tony-winning Carter
COPSE	Thicket of trees
