CITED	Ticketed
COLGATE	School in the Patriot League
INARMOR	Well-suited?
TINEARS	Bad traits for conductors
ECZEMA	Aloe target, perhaps
DEANE	Silas who was the United States' first foreign diplomat (1776)
COOLEDOFF	Chilled
CURLBARS	Bicep builders' accessories
OROGENY	Process of mountain building
OSCARS	Walt Disney has more of these than anyone else
LAKES	Great ___
EMO	Post-punk genre
DIPSBACK	Returns, as from a high level
ONELINE	Makeup of some jokes
FORABIT	Briefly
FRATBOY	Stereotypical college drinker
ONICE	Chilling
URSAMINOR	Constellation once called the Dragon's Wing
LANZA	Tenor Mario
ROCKOPERA	The Who's "Quadrophenia," e.g.
GREENALGAE	Microscopic protists
AMNIOS	OB's perform them
SLAT	Part of a picket fence
AMAMEMBERS	Docs who've paid their dues
BIBB	Lettuce variety
TORA	Japanese code word meaning "tiger"
NANS	Tandoori-baked breads
CANIO	Singer of the Leoncavallo aria "Vesti la giubba"
CIAO	Bye for an Italian soccer team?
ERS	Organ repair sites, for short
WIRY	Like some coats
WARE	Suffix after kitchen
NICETY	Fine point
NETTLE	Irk
LAOS	Land of a Million Elephants
LESSSALT	Factor in a more healthful diet, perhaps
BEAK	Bill
BLACKTEA	Food item once used as currency in Mongolia
INKERS	Printing press parts
ICESHOW	Event with pairs and eights
NEWTAKE	Fresh angle
KNEADIN	Add gradually, as to dough
ALTO	A cappella group part
ARTISTE	Virtuoso
PYE	Joe-___ weed (herbal remedy)
PENHOLD	Certain table tennis grip
YOUANDI	1941 Glenn Miller hit that spent five weeks at #1
ESPTEST	Zener cards are used in it
CENSE	Perfume, in a way
CRAT	Suffix with techno-
CALAIS	City on the Strait of Dover
REOS	1930s Royales
RATSON	Outs, in a way
EWES	___ milk
BATCLEANUP	Be fourth in an order
BILBO	"The Hobbit" character
EDUCE	Draw forth
STAS	Union and others: Abbr.
ILIKEDTHAT	"Well done!"
HADABLAST	Reveled
BLT	It can come on white, briefly
USONE	In Key West it's known as the Overseas Hwy.
OKILLBITE	"You're probably going to get me, but go ahead"
COLDS	They result from catching bugs
WENTTOSEA	Set sail
ENDIT	Break off a relationship
