ATMO	Prefix with sphere
ABC	"Dancing With the Stars" airer
TRUSTEE	One on a board
MISHMASH	Jumble
OSSO	___ buco
RATED	Assigned stars to
RADIUS	Figure that's squared in a common formula
AGENT	Go-between
TANG	Zesty flavor
EPIC	Cast-of-thousands film
DEMO	Floor model
BOOM	Thriving time
BEACH	Place for an umbrella
ORDEAL	Tough time
OMERTA	Mafia code of silence
MANNED	Unlike drone aircraft
BRIS	Jewish ritual
AGAPE	Visibly stunned
ERMA	Humorist Bombeck
CUSS	Ornery sort
DENIM	Cutoffs fabric
ADEN	Yemeni port
SHOWINGCONCERN	Striptease business?
WOE	Reason to cry "Alas!"
NISEI	Some Japanese-Americans
ATM	Drive-thru convenience, perhaps
ALP	Jungfrau or Eiger
OUT	Having lunch, say
IHATE	"___ to say this, but ..."
LEASES	Some auto deals
STOP	Metro map feature
JOES	Stereotypical sandwich board diner
JANET	A singing Jackson
ORGY	Bacchanalian revelry
ELF	Polar drudge
LAD	Young 'un
PEST	Younger brother, say
VARLET	Knight's attendant
VILA	TV handyman Bob
TREE	Kind of diagram
HOLDINGFIRM	Wrestling business?
LANAI	The Pineapple Island
DUE	Expected in
MARINARA	Sauce for some seafood
PAULEY	Former "Dateline NBC" co-host Jane
EATS	Beanery sign
TINYTIM	Cratchit boy
SAD	Bummed out
ALT	Cockpit abbr.
ASPECT	Appearance
LOATHE	Not be able to stomach
TURNIN	Submit, as homework
NEAT	Carefully arranged
IBERIA	Portugal's place
INMIND	Under consideration
BOP	Dizzy Gillespie's genre
SOUSA	The March King
STAND	Witness's place
SNO	___-Caps (Nestlé candy)
SONAR	School locator?
IND	Row C abbr., maybe
PARTINGCOMPANY	Comb business?
NOMS	Pierre, François, etc.
GMEN	Hood fighters
CAGE	Parakeet keeper
ARTY	Pseudo-cultured
ETNA	Volcano known to locals as Mongibello
OMANI	Dweller along the Arabian Sea
RATS	"Darn!"
SOS	Brillo alternative
CHIN	Goatee site
MEGAN	Mullally of "Will & Grace"
TRIO	ZZ Top, e.g.
TEND	Look after
SNERD	Dummy Mortimer
YAMS	Thanksgiving side dish
