PATE	Crown
PSHAW	"Stop yer joshin'!"
AWASH	Soaked
TASTELESS	Kitschy
ENTREE	Part of an order
CACHE	Store
CORDOVAN	Soft leather
ARA	Coach Parseghian
CLIFF	Bluff
HOLLOW	Like jack-o'-lanterns
ENSURE	Protect
SCAT	Spout nonsense?
SMA	Wee, in the Hebrides
CAJUN	Spicy cuisine
AMAZE	Floor
TAXI	Kind of stand
SWAN	Bird in a bevy
ORLON	Dupont's "Fiber A"
MAMA	Cass, e.g.
HAST	Biblical verb
RAILS	Roller-coaster parts
AJAX	Brand under a sink
ASTRID	___ Lindgren, creator of Pippi Longstocking
ILA	Pier grp.
FLUS	Unwelcome strains
STREW	Scatter
UZI	Action film staple
WHEELOFFORTUNE	Popular show
FEND	Manage
UTAH	The Beehive State
LEAVE	Way off base?
WERT	Robert Burns's "O, ___ Thou in the Cauld Blast"
ALE	Inn order
APE	Lug
LTD	Old Ford
ANT	Formicary resident
TVS	DVD displayers
EATIN	Like some kitchens
TIMEALONE	Soul searcher's need
ITO	L.A. law figure
NEW	Modernized
PTSJKNDVNNWHITE	The show's partly completed puzzle (category: hosts)
JELL	Set
KLEIN	See 68-Across
NANO	Prefix with technology
NOOBJECT	What money is to some
EDSEL	Old Ford
SAO	___ Paulo
MOW	Shorten, in a way
LESS	Subtracting
SKEETS	Clay targets
SEACOW	Placid Everglades denizen
NOTME	"I'm innocent!"
TUE	Calendar abbr.
MYTHOS	Underlying system of beliefs
IDLIKETOBUYANA	Request that will complete the show's puzzle
INURN	Bury
DEIGN	See fit
TROPE	Figure of speech
NARCS	Ones who make raids
AGNES	Moorehead of "Bewitched"
ANE	Compound ending
AQUA	Soothing shade
NEAR	Impending
JETLAG	Traveler's complaint
QUIZ	Interrogate
ZEE	Last in a series
ECOLE	Place for a French lesson
LIP	Fat ___ (fight memento)
HORN	Powder holder
URGE	Motivation
TOPIC	Issue
ONCE	First word of "The Raven"
ANNE	With 40-Down, popular fashion label
SWEPT	Clean, as a floor
SESS	Appt. with an analyst
