CRAIGSLIST	Alternative to newspaper classifieds
CMON	"Don't be shy!"
RARE	Like some gases
AGAR	Food stabilizer
INNOCENT	Papal name last used in 1724
GAG	Shut up
SCENTS	Dogs often pick them up
LAPAT	Splash gently against
IRES	Burns up
STE	Ursule, e.g.: Abbr.
TALMUDIC	Like yeshiva studies
SAGS	Loses intensity
SCOTTO	Her 1965 Met debut was as Cio-Cio-San in "Madama Butterfly"
AUNTIEMAME	Play for which Peggy Cass won a Tony in 1957
GREENRIVER	Largest tributary of the Colorado
STARGAZERS	Night watchmen?
MAGNACARTA	Constitution precursor
CURT	Short
ORANGEPEEL	Curaçao ingredient
ONEA	Top status
NERO	Member of the Julio-Claudian dynasty
NAS	"Stillmatic" rapper
MATTER	Stuff
ATIT	In a row
CATT	19th Amendment champion
ARK	Major ancient construction project
CUTTING	Editor's job, often
CARIB	Native Trinidadian
AFTERS	Dessert, in Dover
ADAMSAPPLE	It goes up and down at dinner
FRUITSALAD	Picnic staple
TASTESGOOD	"Mmm!"
RADIOERA	Time before TV
REDAS	"... thy cheeks look ___ Titan's face": Shak.
DRANK	Had a spirited session?
MERIT	Rate
MELDS	Unites
MIZ	"Les ___"
AUST	E.U. mem. since 1995
VEDIC	Like the scriptures on which Hare Krishna is based
VCRTAPES	Maxell products
WAVE	Thing caught near the shore
WISHLIST	It has things you want
MIT	Sch. in the New England Football Conference
PCLAB	School area with mice
PARD	Ponderosa pal
TIMER	A light may be set on one
TUT	Subject of a 1976-79 Met exhibit
STEWARDS	Restaurant staffers
WOODSY	Like the smell of fresh pine
MUSERS	They're reflective
MORENO	Puerto Rican-born Oscar winner of 1961
ASSORTS	Groups
ROTH	"The Human Stain" novelist
RAZOR	Trimming aid
PAGODA	Storied shrine
PAR	Something to shoot for
PITA	Bun alternative
LACE	Bodice fastener
AGHA	Muslim honorific
CHAT	Many people do it online
ETTE	Couch extension?
PLOD	Lumber
PRIZEFIGHT	A bout to remember?
RAH	Motivation exclamation
FEN	Setting for sedges
LAOS	Golden Triangle land
EATONESHAT	Have some humble pie
EDDY	Possible result of pulling the plug
SHARONTATE	"The Wrecking Crew" actress, 1969
