ACRE	Farmland unit
AROMA	Sachet quality
CAFES	Champs Élysées sights
RIFTS	Breaks in relations
ENT	Suffix with exist
CRIER	News source of old
CLERIC	Pastor
ROOT	Dig like a pig
IOUS	Written promises
EST	Attendance fig., often
RESTARTS	Goes back to the top
CAMP	Summer getaway
CASINO	Pit boss's place
ARAB	Riyadh native
MILE	Track event not in the Olympics
PATS	Praises for pups
RAIN	Parade spoiler, perhaps
LOOSE	Ready to come off
ARIA	Coloratura's piece
OFFTHEOUTS	Back to being friends again?
HASNT	Word before "a prayer" or "a clue"
SALT	Seasoned sailor
MET	Ran into
ARTS	They're sometimes fine
TRIBES	Choctaw and Chickasaw
RAJA	Big Indian
ASSISI	St. Francis' birthplace
IONS	Charged particles
CAAN	Actor James
COSMIC	"Far out, man!"
ONCOLORJOKES	Humor that doesn't cause a blush?
OHENRY	Writer with an award named after him
LARGO	Florida's Key ___
KIND	Warm-hearted
ELIA	Essayist's alias
SETS	6-2, 5-7, 6-3, etc.
PAINT	Do watercolors
PALO	___ Alto
AMEN	Hymn sign-off
IPSO	___ facto
HASTA	"___ la vista"
ILE	Suffix with project
AMPS	Big concert equipment
DERMS	Skin suffixes
DUSTMOPS	They chase "bunnies"
SNIT	Worked-up state
SORT	Arrange logically
LES	Kelly's "___ Girls"
FUNGI	Mildew and such
FETA	Greek cheese
SODAS	Fountain drinks
SETAE	Stiff hairs
ONONESROCKER	Mentally sound?
NASSER	Sadat's predecessor
KOSHER	Like much Jewish food
ATTY	One with an "Esq." tag
OTTERS	Zoo showoffs
EMERY	Manicurist's tool
RANGE	Singer's span
SEDER	Passover feast
BALSAM	Certain fir
BALL	Bouncer?
ADEE	"Zip-___-Doo-Dah"
LOSE	Get checkmated
OSSA	Peak in Thessaly
OFAN	In the blink ___ eye
STLO	Normandy battle site
MAE	Author Rita ___ Brown
ADOS	Hullabaloos
OFFTHEMEND	Relapsing?
FEE	License's cost
MUD	Nasty campaigning
LESE	___-majesté
PEALE	Norman Vincent ___
URGE	More than suggest
LEER	Lascivious look
SENOR	Mexicali mister
DYER	Batik artisan
