BINS	Lost-and-found containers
BIBS	Places for double dribbles?
ISAO	Golfer Aoki
NERF	Hasbro product
SENTCOD	Not yet paid for, as a mailed package
AVON	It has ringers on its team
ARC	Shot put's path
VAL	Kilmer of "Real Genius"
OGEE	Kind of arch
NUCLEI	Centers
UMBER	Brown shade
USE	Consume
MTSINAI	Tablets site
BITS	Partner of pieces
ELEM	Part of 51-Across: Abbr.
REDS	Some wines
ISEE	"Got it"
RAGU	Sauce brand
STILE	Subway station sight
BARNACLECHESTED	Like a sunken treasure?
ACHT	Number after sieben
HORN	Honker
SOFTC	Third of December?
ELO	Grp. with the platinum record "A New World Record"
ISMS	Systems of principles
CHOC	Ice cream flavor, briefly
OCTO	Eight: Prefix
CHER	Singer with a Best Actress Oscar
ERIN	Secretary on "The Office"
INTO	Loving
SCOTCHPINNACLE	High place near Aberdeen?
SASHA	Olympic skater Cohen
CROWN	Bonk
PANDA	2008 Beijing Olympics mascot
CLARE	Irish county north of Limerick
LEGOS	Building set
EDAM	Mild cheese
WARD	One in custody
WOOF	Pound sound
TEA	Breakfast cupful
TILED	Like most bathrooms
OSO	Spanish bear
TORNADO	"The Wizard of Oz" weather event
TWIT	Dweeb
AONE	Super-duper
DEAL	25%-off price, e.g.
AGA	Eastern V.I.P.
OHWOW	"Amazing!"
ONENAME	What Shakira or 25-Down goes by
DOE	One fawning
FROM	Gift tag word
FLIESBY	Passes quickly
FANNIEMANACLES	Restraints for writer Flagg?
ETUI	French CD holder
MARNER	"Silas ___"
CHEF	Julia Child, for one
ETTA	James who sang "A Sunday Kind of Love"
ELHI	Like some textbooks
MOAN	Complain
MAGS	High-performance wheels
ODIN	Thor's father
ADZE	Wood shaper
URN	Grecian art object
NCAA	Org. with Divisions I, II and III
EERIE	Creepy
RARE	Exceptional
ILIA	Pelvic bones
ETCH	Mark permanently
ADDAPINCHOFSALT	Cooking instruction hinting at this puzzle's theme?
POR	___ favor
HST	Pres. initials
OTS	Periods of extra mins.
GIZMO	Thingy
EAST	A.L. or N.L. division
BRIC	___-a-brac
SNEER	Look of superiority
RATS	Cry from Charlie Brown
YEAH	When sung three times, part of a Beatles refrain
