APT	Quick
ALICE	Caterpillar engager
PANAMA	Boater alternative
THESIS	Need for a third degree?
PAR	Course yardstick
PIRATE	Take illegally
ADORERS	Big fans
RAPARTISTS	Beat poets?
SPIRAL	Standard pass
SLASHES	Couple in a date
PORTENTS	Signs
INCAMERA	Privately
RESTAGES	Does, as a Tennessee Williams play
ALIENEES	Heirs, legally
LYNN	Port on Massachusetts Bay
LAHDIDAH	Hoity-toity
DUCTS	They bring tears to one's eyes
HESS	Big name in oil
LONELY	Unfrequented
INEUROPE	Taking a grand tour, say
ARCSIN	It's measured in radians
CASCARAS	Buckthorn trees with medically useful bark
STATEN	___ Island, home for part of the Gateway National Recreation Area
EMITTERS	Transistor electrodes
HEMAN	Stud
ASSERT	Postulate
RENEGES	Doesn't properly follow through
REARMAMENT	Treaty violation, maybe
STY	Place of debauchery
SIDESTREET	Not the common way
DEE	Media center?
LANES	Things to pass in
LIB	William Gladstone, politically: Abbr.
ACESOVER	Winning full house, for short
NETPRICE	Shelled-out amount
ESTIMATE	Judge
SKELETON	Halloween costume
SEA	Puffer's place
SASSY	Flip
ICESKATERS	N.H.L'.ers, e.g.
ARTLESS	Natural
SORBATE	Potassium ___ (food mold inhibitor)
BETTERS	Tops
MOPSUP	Routs
PRUNED	Cut back
SALON	Beauty spot
UGANDA	Pre-1962 British protectorate
PENMEN	Scribes
SPILT	Ran over
BARRAGES	Volleys
BALI	Mt. Agung locale
STERN	Demanding
HORMEL	Spam producer
HARP	Dwell
AMBULANT	Moving about
AVIATE	Go into banks, perhaps
LEANONME	1972 #1 hit with the lyric "I'm right up the road / I'll share your load"
RECTOS	Leaf sides
INTENDER	Person with a plan
PREENS	Makes oneself appear smart
TED	Actor Wass
ANN	Cape ___
