ENDOFONESTETHER	Giving-up point
ELIS	Site of the ancient Olympic games
NENE	Bird named for its call
DAVIDHUME	"Political Discourses" author
OVINE	Sheepish
FETES	Rolls out the red carpet for
OSE	Suffix with verb
NADA	Big zero
ELAPSED	Rolled by
SOURER	Less enthused
TOD	Strauss's "___ und Verklärung"
EPIS	Certain Protestant: Abbr.
THEPOLICE	Sting operation?
HONOR	Roll out the red carpet for
ELCID	1961 Charlton Heston role
REEL	Casting requirement?
LEAVESALOOPHOLE	Provides means of escape
INVITEDAUDIENCE	People at a special showing
SEINE	Saint-Germain's river
APR	Spring mo.
SPOIL	Turn
DESK	PC site
KORANIC	Of a sacred text
SEC	Like Chianti
CAPLESS	Unprotected from the sun
ORD	Certain no.
ASH	Grate expectations?
ACRO	Common prefix with phobia
SHAR	___-Pei (dog)
OVERALL	Blanket
VAN	Moving sight
LOA	Mauna ___
CHUM	Buddy
MAGDALENE	Cambridge University college
RAD	X-ray spec
POISON	Kind of pen
SERVINGAS	Acting for
OBOE	Concerto instrument
NOSE	Scents organ
RAMADAN	Fast time
DOE	Female antelope
PLACEBO	A person may be taken in by taking it
POE	"MS. Found in a Bottle" writer
OREGON	Old trail destination
WOE	Trial and tribulation
WILLARD	Heavyweight champ before Dempsey
EROS	Boy armed with bows and arrows
DEITIES	43-Across and others
TARIFA	Point ___ (southernmost point in continental Europe)
VEE	Fork in the road
SSA	Govt. money dispenser since 1946
SHORT	Brusque
SITAR	Long-necked instrument
CAL	41-Across borderer: Abbr.
SARI	It's a wrap
ABASE	Take down a peg
RANTS	Philippics
CHILI	Hot stuff
CPOS	Nav. ratings
INGE	"Good Luck, Miss Wyckoff" novelist
RLS	Initials in 19th-century lit.
SLED	Inuit's item
BANJO	Folk music accompaniment
JETE	Leap at the ballet
ORES	Metal containers
POTENTIALDANGER	Thin ice, e.g.
TET	Asian occasion
DER	Austrian article
ORANGEFREESTATE	Boer War participant
STREETADDRESSES	Delivery persons' info
