SCALED	Like mountains and maps
SAHARA	Large hot spot
CRANES	Heavy lifters
ANNALS	Archival material
LEGALAGES	They're set for drinking and smoking
ERIN	John-Boy Walton's sister
DAN	Brown who wrote "The Lost Symbol"
GIMLI	"The Lord of the Rings" dwarf
GARNER	Earn
ITO	Skater Midori
MOOS	Farmyard chorus
LUMP	Mattress problem
ITSOPEN	"Come on in!"
COBRA	Attack helicopter
CLASSCLOWNS	School cards
OATS	Muesli ingredients
BRECHT	"Mother Courage and Her Children" playwright
RENAME	Call again?
ASTROS	Minute Maid Park players
CARNERA	1930s heavyweight champ known as the Ambling Alp
CCCP	Letters on old rubles
EATOUT	Choose not to cook, say
EGRET	Great white ___
BLARES	Plays at maximum volume
BLTS	Lunch orders that are typically sliced in half
CHANGINGGROOMS	Deciding the best man is better, perhaps?
GETTY	Los Angeles museum, with "the"
LATENT	As yet unactualized
CANAAN	Where Caleb was sent as a spy
ERN	Seaside bird
SPORTSSCAR	Memento of an old athletic injury?
RAS	Coll. dorm overseers
PRELL	Suave competitor
STEEL	Many a shipment to Detroit
SLAY	Off
LIBERALMINDED	Tolerant of other opinions
PASS	Air play?
HMO	Med. care provider
ASSAULTTRIFLES	Nitpicks?
URL	It might have an extension: Abbr.
FREY	James who wrote "A Million Little Pieces"
LAD	Boyo
CITES	Uses as a source
IOTA	Trace
GRAY	Like a foreboding sky
BRAN	What white flour lacks
PLO	West Bank grp.
POWERS	Superheroes have them
STATELY	Majestic
SPIRAL	Galaxy shape
TIMELAG	Delay
ALIBABA	"Arabian Nights" opener?
TEN	Olympics ideal
TWEED	Professorial material?
TERPS	Competitors of Wahoos and Tar Heels
WHIP	It's most useful when it's cracked
FOOTER	Bottom line?
FEVER	Peggy Lee's signature song
EGOTRIP	Vanity case?
REDWINE	Médoc, for one
PILES	Sorters' formations
GEHRY	Architect of the Guggenheim Museum in Bilbao
GOODS	Stock in trade
NEWWAGER	Double or nothing, say?
NODES	Stem joints
REAPED	Brought in
IMIN	Gambler's declaration
GLORIA	Hymn starter
GREATS	Hall-of-Famers
LOATH	Reluctant
WOVEN	Like many rugs
WATTS	South Los Angeles district
ODE	Keats's "___ on Indolence"
REB	Pickett's Charge participant
TROOPPLEADERS	Begging soldiers?
THREEAMIGOS	1986 film featuring Chevy Chase as Dusty Bottoms
EASE	Affluence
TWA	Co. of which Howard Hughes became the principal shareholder in 1939
ALA	___ rigueur (literally)
HEADS	Call before a football game
MATERS	Manchester moms
GRIP	Handle
GEL	Cream alternative
LABBRATS	Young scientists who are impossible to work with?
BRYN	___ Mawr College
LISTS	Tips
LOOP	Ankh's top
SEINE	View from the Quai d'Orsay
SEPARATES	Becomes layered while settling
GARETH	Sir ___, nephew of King Arthur
BONES	X-ray view
BRR	Shaker's sound
WHELPED	Gave birth to a litter
WERE	"___ here!"
HER	"Away From ___" (Julie Christie film)
YES	Triumphant cry
PROD	Kick in the rear, maybe
PANAMAS	Headwear also known as jipijapas
VEEP	Senate tie breaker
VERDE	Colorado's Mesa ___
GHANA	Country whose name means "warrior king"
GRAMPA	Rocking chair storyteller
HOTAIR	Empty words
ATONAL	Keyless
CARPENTERRANTS	Things heard after thumbs are hit with hammers?
CIC	Pres. title
NEEDNT	"You ___ bother"
TENDS	Looks after
NATIVE	Best guide around town, probably
THROAT	Dewlap's place
SAINTS	They're all good
ROT	Languish
MAIN	Water carrier
ACES	Bullets, in Texas hold'em
DEERE	Maker of "the plow that broke the Plains"
RAHAB	Prostitute who protected Israelite spies, in Joshua
BASE	Dishonorable
ATOMICCAGE	Holder of pet electrons, protons and neutrons?
MANE	Horsehair source
GISH	"Intolerance" actress Lillian
EXPO	Fair
END	Windup
PATRIA	Pro ___ (for one's country)
POLE	Subway car feature
MANAGE	Get by somehow
MIXEDDEMOTIONS	Reductions in rank that aren't entirely bad?
EER	Suffix with slogan
MER	France's Belle-Île-en-___
PIANOS	Key holders
ASPENS	Spectacular autumn trees
ELEVATE	Up
ARLES	Setting of Van Gogh's "Cafe Terrace at Night"
SHORT	Shy
RESETS	Adjusts for daylight saving, e.g.
